record_id,date,school_id,grade,total_students,present_students,teacher_present,marked_by,is_impossible_attendance,attendance_valid,attendance_rate_pct,day_of_week,is_sunday,is_proxy_fraud
ATT0016398,2026-01-13,SCH0537,7,258,178,,Headmaster,False,True,68.9922480620155,Tuesday,False,False
ATT0010481,2025-05-07,SCH0363,IV,86,70,,Clerk,False,True,81.3953488372093,Wednesday,False,False
ATT0007137,2025-05-15,S0414,7,95,87,True,Unknown,False,True,91.57894736842105,Thursday,False,False
,2026-02-24,SCH0012,6,112,84,True,Class Teacher,False,True,75.0,Tuesday,False,False
ATT0012018,2025-08-13,SCH0265,III,202,157,,Headmaster,False,True,77.72277227722772,Wednesday,False,False
ATT0019081,2025-09-08,SCH0309,III,246,181,,Admin,False,True,73.57723577235772,Monday,False,False
ATT0016530,2025-04-22,SCH0166,9,217,179,True,Headmaster,False,True,82.48847926267281,Tuesday,False,False
ATT0012828,2026-02-18,SCH0385,7,182,128,False,Unknown,False,True,70.32967032967034,Wednesday,False,False
ATT0014175,2025-06-15,SCH0213,IV,196,185,,Headmaster,False,True,94.38775510204081,Sunday,True,False
ATT0005035,2025-07-22,SCH0099,2,174,145,True,Clerk,False,True,83.33333333333334,Tuesday,False,False
ATT0005655,2025-07-21,SCH0289,2,183,146,True,Clerk,False,True,79.78142076502732,Monday,False,False
ATT0014219,2025-07-04,SCH0397,3,186,153,,Headmaster,False,True,82.25806451612904,Friday,False,False
ATT0018689,2025-10-23,SCH0213,II,190,157,,Admin,False,True,82.63157894736842,Thursday,False,False
ATT0011622,2026-03-18,SCH0205,6,134,89,True,Unknown,False,True,66.4179104477612,Wednesday,False,False
ATT0018888,2025-09-04,SCH0298,V,154,140,True,Class Teacher,False,True,90.9090909090909,Thursday,False,False
ATT0010713,2025-08-17,SCH0235,V,299,315,True,Class Teacher,True,False,,Sunday,True,False
ATT0017567,2026-01-24,SCH0059,4,267,231,True,Unknown,False,True,86.51685393258427,Saturday,False,False
ATT0007223,2025-10-29,SCH0381,8,63,55,True,Class Teacher,False,True,87.3015873015873,Wednesday,False,False
ATT0003740,2025-08-25,SCH0131,1,161,109,True,Class Teacher,False,True,67.70186335403726,Monday,False,False
ATT0002196,2026-02-25,SCH0470,V,153,153,True,Class Teacher,False,True,100.0,Wednesday,False,False
ATT0008740,2026-01-01,SCH0596,II,160,131,True,Unknown,False,True,81.875,Thursday,False,False
ATT0012217,2025-04-16,SCH0132,IV,51,45,,Class Teacher,False,True,88.23529411764706,Wednesday,False,False
ATT0014927,2025-05-13,S0593,1,77,65,,Headmaster,False,True,84.4155844155844,Tuesday,False,False
ATT0014708,2026-03-07,SCH0371,IV,110,69,,Clerk,False,True,62.727272727272734,Saturday,False,False
ATT0009416,2025-11-08,SCH0345,9,266,260,True,Headmaster,False,True,97.74436090225564,Saturday,False,False
ATT0006308,2025-07-08,SCH0148,I,197,179,,Admin,False,True,90.86294416243655,Tuesday,False,False
ATT0013099,2025-10-09,SCH0194,8,129,122,True,Unknown,False,True,94.57364341085271,Thursday,False,False
ATT0019041,2025-04-15,S0210,2,89,65,True,Headmaster,False,True,73.03370786516854,Tuesday,False,False
ATT0018193,2026-02-24,SCH0486,7,84,69,False,Clerk,False,True,82.14285714285714,Tuesday,False,False
ATT0001088,2025-05-16,SCH0038,6,115,80,True,Clerk,False,True,69.56521739130434,Friday,False,False
ATT0013698,2025-07-08,SCH0061,II,143,126,False,Admin,False,True,88.11188811188812,Tuesday,False,False
ATT0019226,2026-03-19,SCH0507,6,252,153,True,Clerk,False,True,60.71428571428571,Thursday,False,False
ATT0005763,2025-06-13,SCH0535,IV,139,124,True,Headmaster,False,True,89.20863309352518,Friday,False,False
ATT0008627,2025-11-20,SCH0042,3,236,162,True,Admin,False,True,68.64406779661016,Thursday,False,False
ATT0016608,2025-06-16,SCH0539,4,270,163,True,Headmaster,False,True,60.370370370370374,Monday,False,False
ATT0016748,2025-05-13,0550,8,257,249,,Headmaster,False,True,96.88715953307393,Tuesday,False,False
ATT0014371,2026-01-14,SCH0351,7,293,198,True,Headmaster,False,True,67.57679180887372,Wednesday,False,False
ATT0006789,2025-05-21,SCH0537,10,238,196,True,Headmaster,False,True,82.35294117647058,Wednesday,False,False
ATT0019295,2026-02-19,SCH0256,3,76,73,True,Clerk,False,True,96.05263157894737,Thursday,False,False
ATT0015631,2026-02-26,SCH0527,6,250,201,True,Unknown,False,True,80.4,Thursday,False,False
ATT0003352,2025-06-24,SCH0558,4,177,109,True,Clerk,False,True,61.5819209039548,Tuesday,False,False
ATT0013112,2026-03-27,SCH0014,4,184,122,True,Clerk,False,True,66.30434782608695,Friday,False,False
ATT0000342,2026-03-23,S0024,IV,233,204,True,Class Teacher,False,True,87.55364806866953,Monday,False,False
ATT0002381,2025-06-12,SCH0012,1,78,47,True,Clerk,False,True,60.256410256410255,Thursday,False,False
ATT0014806,2025-04-07,SCH0437,9,114,72,True,Headmaster,False,True,63.1578947368421,Monday,False,False
ATT0014906,2026-08-02,SCH0488,I,174,168,True,Admin,False,True,96.55172413793103,Sunday,True,False
ATT0017596,2025-06-23,SCH0317,2,259,250,True,Admin,False,True,96.52509652509652,Monday,False,False
ATT0008727,2026-02-24,S0024,7,138,86,False,Unknown,False,True,62.31884057971014,Tuesday,False,False
ATT0016450,2026-03-22,SCH0596,3,236,236,,Class Teacher,False,True,100.0,Sunday,True,True
ATT0002306,2025-11-10,SCH0271,III,45,41,False,Headmaster,False,True,91.11111111111111,Monday,False,False
ATT0012052,2026-02-06,SCH0367,4,289,188,True,Class Teacher,False,True,65.05190311418684,Friday,False,False
ATT0003480,2025-05-20,S0295,III,147,97,True,Clerk,False,True,65.98639455782312,Tuesday,False,False
ATT0009137,2026-02-17,SCH0139,1,173,152,,Clerk,False,True,87.86127167630057,Tuesday,False,False
ATT0007525,2025-12-13,SCH0206,9,261,188,True,Unknown,False,True,72.03065134099617,Saturday,False,False
ATT0010353,2025-06-12,SCH0289,3,131,82,True,Unknown,False,True,62.59541984732825,Thursday,False,False
ATT0012107,2025-04-13,SCH0172,I,214,214,True,Class Teacher,False,True,100.0,Sunday,True,True
ATT0015379,2025-05-12,0246,4,84,80,True,Admin,False,True,95.23809523809523,Monday,False,False
ATT0019606,2025-08-05,SCH0392,10,55,42,True,Unknown,False,True,76.36363636363637,Tuesday,False,False
ATT0016832,2025-11-18,SCH0031,10,61,40,,Clerk,False,True,65.57377049180327,Tuesday,False,False
ATT0013190,2025-09-19,SCH0450,I,156,156,True,Clerk,False,True,100.0,Friday,False,False
ATT0003799,2026-11-01,SCH0225,I,92,104,True,Clerk,True,False,,Sunday,True,False
ATT0015816,2025-05-04,0380,8,187,187,True,Class Teacher,False,True,100.0,Sunday,True,True
ATT0019080,2025-07-23,S0107,5,190,179,True,Headmaster,False,True,94.21052631578948,Wednesday,False,False
ATT0016929,2025-09-09,SCH0038,III,279,227,True,Clerk,False,True,81.36200716845879,Tuesday,False,False
ATT0003669,2025-11-24,SCH0048,5,299,244,True,Headmaster,False,True,81.60535117056857,Monday,False,False
ATT0018433,2025-09-08,SCH0452,4,134,93,True,Headmaster,False,True,69.40298507462687,Monday,False,False
ATT0006326,2025-11-21,0366,3,63,58,,Headmaster,False,True,92.06349206349206,Friday,False,False
ATT0013584,2025-11-30,SCH0068,IV,64,64,True,Unknown,False,True,100.0,Sunday,True,True
ATT0000134,2026-02-26,SCH0036,5,83,50,,Headmaster,False,True,60.24096385542169,Thursday,False,False
ATT0013830,2026-02-07,SCH0124,V,197,152,False,Headmaster,False,True,77.15736040609137,Saturday,False,False
ATT0013856,2025-04-21,SCH0448,8,177,138,,Headmaster,False,True,77.96610169491525,Monday,False,False
ATT0003779,2025-04-25,S0040,II,129,91,,Class Teacher,False,True,70.54263565891473,Friday,False,False
ATT0000386,2025-04-16,S0105,2,132,119,True,Headmaster,False,True,90.15151515151516,Wednesday,False,False
ATT0012462,2025-08-12,SCH0032,6,183,143,False,Unknown,False,True,78.14207650273224,Tuesday,False,False
ATT0011447,2025-05-09,SCH0097,IV,46,38,,Admin,False,True,82.6086956521739,Friday,False,False
ATT0002172,2025-07-14,SCH0004,2,298,229,,Headmaster,False,True,76.84563758389261,Monday,False,False
ATT0019703,2025-11-08,SCH0141,II,248,200,True,Admin,False,True,80.64516129032258,Saturday,False,False
ATT0015261,2025-09-21,SCH0048,II,166,166,,Headmaster,False,True,100.0,Sunday,True,True
ATT0005663,2025-07-28,SCH0328,10,60,44,True,Clerk,False,True,73.33333333333333,Monday,False,False
ATT0001356,2025-06-27,SCH0523,3,60,39,,Headmaster,False,True,65.0,Friday,False,False
ATT0002086,2025-11-22,SCH0334,5,240,233,True,Unknown,False,True,97.08333333333333,Saturday,False,False
ATT0019163,2025-09-27,SCH0008,3,196,189,True,Clerk,False,True,96.42857142857143,Saturday,False,False
ATT0010361,2025-08-21,SCH0180,7,188,134,True,Unknown,False,True,71.27659574468085,Thursday,False,False
ATT0011548,2025-07-04,0155,III,271,224,True,Clerk,False,True,82.65682656826569,Friday,False,False
ATT0002387,2025-12-05,0412,1,203,141,True,Admin,False,True,69.45812807881774,Friday,False,False
ATT0012785,2025-04-26,0193,10,156,114,True,Admin,False,True,73.07692307692307,Saturday,False,False
ATT0000475,2025-11-14,SCH0377,III,292,204,False,Class Teacher,False,True,69.86301369863014,Friday,False,False
ATT0003435,2025-12-26,SCH0067,8,63,57,True,Admin,False,True,90.47619047619048,Friday,False,False
ATT0005306,2025-04-04,SCH0249,5,256,205,,Class Teacher,False,True,80.078125,Friday,False,False
ATT0008088,2025-12-05,SCH0552,5,198,175,True,Headmaster,False,True,88.38383838383838,Friday,False,False
ATT0004843,2025-06-06,SCH0075,7,143,99,,Headmaster,False,True,69.23076923076923,Friday,False,False
ATT0013436,2026-02-16,0329,10,70,53,,Headmaster,False,True,75.71428571428571,Monday,False,False
ATT0007882,2025-11-21,SCH0136,6,137,145,,Headmaster,True,False,,Friday,False,False
ATT0006291,2025-11-04,SCH0361,2,228,164,,Admin,False,True,71.9298245614035,Tuesday,False,False
ATT0012561,2026-02-16,SCH0128,3,106,106,True,Class Teacher,False,True,100.0,Monday,False,False
ATT0002504,2026-11-02,SCH0092,IV,209,165,False,Class Teacher,False,True,78.94736842105263,Monday,False,False
ATT0007290,2025-02-10,SCH0271,1,185,145,,Headmaster,False,True,78.37837837837837,Monday,False,False
ATT0015715,2025-12-24,SCH0348,III,67,52,,Headmaster,False,True,77.61194029850746,Wednesday,False,False
ATT0016429,2025-11-02,SCH0488,6,41,41,True,Class Teacher,False,True,100.0,Sunday,True,True
ATT0000745,2025-05-31,SCH0584,8,166,112,True,Unknown,False,True,67.46987951807229,Saturday,False,False
ATT0017944,2026-03-16,S0372,8,239,188,True,Headmaster,False,True,78.66108786610879,Monday,False,False
ATT0017881,2025-06-02,SCH0493,V,240,208,True,Headmaster,False,True,86.66666666666667,Monday,False,False
ATT0015453,2025-06-30,SCH0202,9,56,69,True,Clerk,True,False,,Monday,False,False
ATT0010552,2025-10-18,S0382,III,290,252,True,Clerk,False,True,86.89655172413792,Saturday,False,False
ATT0019746,2025-11-16,0597,10,119,119,True,Headmaster,False,True,100.0,Sunday,True,True
ATT0002326,2025-11-19,SCH0168,I,132,127,True,Clerk,False,True,96.21212121212122,Wednesday,False,False
ATT0009961,2026-03-11,S0118,8,155,105,False,Clerk,False,True,67.74193548387096,Wednesday,False,False
ATT0018383,2025-08-30,SCH0532,V,205,192,True,Headmaster,False,True,93.65853658536587,Saturday,False,False
ATT0016506,2025-09-20,S0469,9,46,31,True,Headmaster,False,True,67.3913043478261,Saturday,False,False
ATT0012139,2026-01-25,SCH0417,V,160,176,,Headmaster,True,False,,Sunday,True,False
ATT0016665,2025-04-21,SCH0575,IV,169,114,,Admin,False,True,67.45562130177515,Monday,False,False
ATT0017392,2025-06-04,SCH0303,2,270,270,,Class Teacher,False,True,100.0,Wednesday,False,False
ATT0001167,2025-11-01,SCH0540,3,244,178,True,Headmaster,False,True,72.95081967213115,Saturday,False,False
ATT0009962,2025-07-23,SCH0082,5,277,177,,Class Teacher,False,True,63.898916967509024,Wednesday,False,False
ATT0006135,2025-08-13,SCH0389,10,162,155,,Clerk,False,True,95.67901234567901,Wednesday,False,False
ATT0009816,2026-02-06,SCH0032,I,239,146,True,Admin,False,True,61.08786610878661,Friday,False,False
ATT0005672,2026-03-21,SCH0012,V,182,151,True,Headmaster,False,True,82.96703296703298,Saturday,False,False
ATT0006798,2025-08-14,SCH0549,2,121,79,True,Unknown,False,True,65.28925619834712,Thursday,False,False
ATT0007859,2026-01-17,S0362,7,192,149,False,Class Teacher,False,True,77.60416666666666,Saturday,False,False
ATT0011552,2025-07-04,S0102,6,144,117,True,Class Teacher,False,True,81.25,Friday,False,False
ATT0018220,2025-07-05,SCH0217,3,49,32,,Class Teacher,False,True,65.3061224489796,Saturday,False,False
ATT0007537,2026-02-28,SCH0464,IV,115,101,True,Headmaster,False,True,87.82608695652175,Saturday,False,False
ATT0017089,2025-04-12,S0133,8,136,122,False,Class Teacher,False,True,89.70588235294117,Saturday,False,False
ATT0008467,2025-04-27,SCH0297,8,299,232,False,Clerk,False,True,77.59197324414716,Sunday,True,False
ATT0017746,2026-03-28,SCH0083,V,287,205,,Class Teacher,False,True,71.42857142857143,Saturday,False,False
ATT0011454,2025-10-14,SCH0547,1,261,252,False,Clerk,False,True,96.55172413793103,Tuesday,False,False
ATT0004950,2025-06-23,SCH0486,V,70,57,True,Headmaster,False,True,81.42857142857143,Monday,False,False
ATT0013625,2025-12-28,SCH0344,1,225,165,True,Clerk,False,True,73.33333333333333,Sunday,True,False
ATT0019973,2025-04-17,SCH0292,1,161,139,True,Class Teacher,False,True,86.33540372670807,Thursday,False,False
ATT0012615,2025-10-21,SCH0318,8,258,157,True,Headmaster,False,True,60.85271317829457,Tuesday,False,False
ATT0004439,2026-03-31,SCH0532,V,135,120,False,Clerk,False,True,88.88888888888889,Tuesday,False,False
ATT0006632,2025-10-28,SCH0136,6,161,126,True,Class Teacher,False,True,78.26086956521739,Tuesday,False,False
ATT0002752,2025-07-10,SCH0234,2,221,174,False,Class Teacher,False,True,78.73303167420815,Thursday,False,False
ATT0016471,2025-10-15,SCH0235,I,297,267,True,Clerk,False,True,89.8989898989899,Wednesday,False,False
ATT0006557,2025-11-08,S0538,3,142,159,True,Class Teacher,True,False,,Saturday,False,False
,2026-03-23,SCH0565,9,138,115,True,Clerk,False,True,83.33333333333334,Monday,False,False
ATT0016793,2025-08-08,SCH0019,8,135,99,,Headmaster,False,True,73.33333333333333,Friday,False,False
ATT0005422,2025-12-27,SCH0255,4,161,145,True,Class Teacher,False,True,90.06211180124224,Saturday,False,False
ATT0011991,2025-08-23,SCH0309,7,69,65,,Unknown,False,True,94.20289855072464,Saturday,False,False
ATT0000564,2025-04-29,SCH0441,II,166,166,True,Admin,False,True,100.0,Tuesday,False,False
,2025-06-12,SCH0231,3,128,139,True,Clerk,True,False,,Thursday,False,False
ATT0009691,2025-07-29,SCH0283,I,57,41,,Headmaster,False,True,71.9298245614035,Tuesday,False,False
ATT0018752,2025-04-05,SCH0079,V,155,155,True,Headmaster,False,True,100.0,Saturday,False,False
ATT0013496,2025-10-05,SCH0076,5,59,59,True,Admin,False,True,100.0,Sunday,True,True
ATT0004220,2025-04-20,SCH0458,III,131,131,True,Class Teacher,False,True,100.0,Sunday,True,True
,2025-08-04,SCH0406,I,273,214,True,Headmaster,False,True,78.3882783882784,Monday,False,False
ATT0006358,2025-10-13,SCH0333,II,221,214,True,Admin,False,True,96.83257918552036,Monday,False,False
ATT0004548,2025-02-04,SCH0162,1,293,278,True,Unknown,False,True,94.88054607508532,Tuesday,False,False
,2025-07-09,S0322,8,202,202,True,Clerk,False,True,100.0,Wednesday,False,False
ATT0002938,2025-08-13,SCH0575,5,204,156,,Clerk,False,True,76.47058823529412,Wednesday,False,False
ATT0016043,2025-10-16,SCH0463,9,255,165,,Admin,False,True,64.70588235294117,Thursday,False,False
ATT0009359,2026-03-25,SCH0284,4,257,229,False,Admin,False,True,89.10505836575877,Wednesday,False,False
ATT0013079,2025-06-20,SCH0210,I,54,40,False,Unknown,False,True,74.07407407407408,Friday,False,False
ATT0015003,2026-01-01,0120,II,196,176,True,Headmaster,False,True,89.79591836734694,Thursday,False,False
ATT0019801,2025-10-20,SCH0550,8,196,165,True,Admin,False,True,84.18367346938776,Monday,False,False
ATT0005377,2025-04-11,SCH0303,2,76,53,True,Headmaster,False,True,69.73684210526315,Friday,False,False
ATT0005478,2026-08-02,SCH0305,I,209,225,True,Headmaster,True,False,,Sunday,True,False
ATT0019212,2025-11-29,SCH0145,10,246,246,True,Clerk,False,True,100.0,Saturday,False,False
ATT0017465,2025-07-10,SCH0034,V,227,196,True,Headmaster,False,True,86.34361233480176,Thursday,False,False
ATT0003949,2025-10-16,SCH0298,III,236,218,True,Headmaster,False,True,92.37288135593221,Thursday,False,False
ATT0008542,2025-09-29,S0161,II,137,101,,Clerk,False,True,73.72262773722628,Monday,False,False
ATT0008118,2025-06-12,0028,II,300,225,True,Headmaster,False,True,75.0,Thursday,False,False
ATT0000777,2026-11-01,SCH0167,V,209,151,True,Class Teacher,False,True,72.24880382775119,Sunday,True,False
ATT0016135,2025-07-27,SCH0580,7,51,51,True,Headmaster,False,True,100.0,Sunday,True,True
ATT0004731,2025-04-07,SCH0574,4,98,72,True,Headmaster,False,True,73.46938775510205,Monday,False,False
ATT0006219,2025-08-13,SCH0192,IV,203,125,True,Admin,False,True,61.57635467980296,Wednesday,False,False
ATT0015102,2025-05-30,SCH0093,V,212,157,,Class Teacher,False,True,74.05660377358491,Friday,False,False
ATT0003001,2025-11-16,SCH0533,8,168,168,,Admin,False,True,100.0,Sunday,True,True
ATT0005863,2026-01-26,SCH0014,V,77,49,True,Admin,False,True,63.63636363636363,Monday,False,False
ATT0018506,2026-03-22,SCH0548,3,125,102,False,Class Teacher,False,True,81.6,Sunday,True,False
ATT0009615,2025-04-04,SCH0391,7,112,68,False,Unknown,False,True,60.71428571428571,Friday,False,False
ATT0013003,2025-03-05,SCH0316,III,45,42,False,Unknown,False,True,93.33333333333333,Wednesday,False,False
ATT0011128,2025-08-19,SCH0445,8,106,74,,Headmaster,False,True,69.81132075471697,Tuesday,False,False
ATT0002120,2025-12-02,SCH0191,V,90,90,True,Class Teacher,False,True,100.0,Tuesday,False,False
ATT0017627,2025-08-22,SCH0475,V,252,191,True,Unknown,False,True,75.79365079365078,Friday,False,False
ATT0016319,2025-06-07,SCH0061,IV,119,99,True,Clerk,False,True,83.19327731092437,Saturday,False,False
ATT0002754,2025-04-21,S0106,IV,237,155,True,Class Teacher,False,True,65.40084388185655,Monday,False,False
ATT0016898,2025-09-05,0106,III,51,37,,Unknown,False,True,72.54901960784314,Friday,False,False
ATT0004521,2025-08-30,SCH0490,2,95,76,True,Unknown,False,True,80.0,Saturday,False,False
ATT0002458,2025-06-11,SCH0060,9,93,74,True,Clerk,False,True,79.56989247311827,Wednesday,False,False
ATT0013853,2025-12-29,SCH0382,I,180,126,,Clerk,False,True,70.0,Monday,False,False
ATT0008482,2025-06-04,SCH0071,8,108,80,True,Clerk,False,True,74.07407407407408,Wednesday,False,False
ATT0012100,2025-03-10,SCH0423,7,127,91,False,Admin,False,True,71.65354330708661,Monday,False,False
ATT0011960,2025-10-23,SCH0438,7,212,133,True,Clerk,False,True,62.735849056603776,Thursday,False,False
ATT0008070,2025-05-05,SCH0299,4,159,102,,Clerk,False,True,64.15094339622641,Monday,False,False
ATT0007257,2025-08-04,SCH0076,7,268,222,True,Headmaster,False,True,82.83582089552239,Monday,False,False
ATT0009490,2025-06-25,SCH0397,II,229,240,,Admin,True,False,,Wednesday,False,False
ATT0014936,2025-02-07,SCH0148,4,228,219,True,Class Teacher,False,True,96.05263157894737,Friday,False,False
ATT0014130,2025-06-27,SCH0168,V,66,63,,Admin,False,True,95.45454545454545,Friday,False,False
ATT0018191,2025-04-19,SCH0157,6,79,79,,Headmaster,False,True,100.0,Saturday,False,False
ATT0016328,2025-07-07,0085,IV,93,69,,Headmaster,False,True,74.19354838709677,Monday,False,False
ATT0015663,2026-03-19,SCH0041,5,186,145,True,Admin,False,True,77.95698924731182,Thursday,False,False
ATT0015364,2025-12-13,0308,7,276,213,,Headmaster,False,True,77.17391304347827,Saturday,False,False
ATT0013039,2025-06-12,SCH0571,4,225,158,True,Clerk,False,True,70.22222222222221,Thursday,False,False
ATT0003283,2025-11-01,SCH0068,8,91,64,,Clerk,False,True,70.32967032967034,Saturday,False,False
ATT0012182,2026-03-22,SCH0470,I,68,68,True,Admin,False,True,100.0,Sunday,True,True
ATT0004983,2025-07-20,SCH0263,IV,89,76,True,Headmaster,False,True,85.39325842696628,Sunday,True,False
ATT0009503,2025-06-17,SCH0141,5,205,198,,Class Teacher,False,True,96.58536585365853,Tuesday,False,False
ATT0003406,2026-04-03,SCH0042,I,240,225,,Clerk,False,True,93.75,Friday,False,False
ATT0003959,2026-03-10,SCH0461,III,74,57,,Class Teacher,False,True,77.02702702702703,Tuesday,False,False
ATT0017342,2025-10-15,SCH0403,4,102,111,,Clerk,True,False,,Wednesday,False,False
ATT0009179,2025-06-27,SCH0466,5,272,230,,Admin,False,True,84.55882352941177,Friday,False,False
ATT0002268,2025-09-19,SCH0139,7,45,28,True,Clerk,False,True,62.22222222222222,Friday,False,False
ATT0013127,2025-06-06,SCH0287,3,224,192,True,Admin,False,True,85.71428571428571,Friday,False,False
ATT0013335,2025-04-14,SCH0092,II,219,138,True,Unknown,False,True,63.013698630136986,Monday,False,False
ATT0014774,2025-11-10,SCH0355,6,42,36,True,Clerk,False,True,85.71428571428571,Monday,False,False
ATT0010369,2025-05-31,SCH0206,10,122,98,True,Headmaster,False,True,80.32786885245902,Saturday,False,False
ATT0007224,2025-10-05,SCH0239,III,268,242,True,Unknown,False,True,90.29850746268657,Sunday,True,False
ATT0018308,2025-09-23,S0188,1,246,150,True,Unknown,False,True,60.97560975609756,Tuesday,False,False
,2025-10-20,SCH0332,2,195,189,,Admin,False,True,96.92307692307692,Monday,False,False
ATT0018556,2026-03-28,SCH0053,I,108,89,,Headmaster,False,True,82.4074074074074,Saturday,False,False
ATT0002486,2025-12-29,SCH0120,4,215,171,True,Admin,False,True,79.53488372093022,Monday,False,False
ATT0017100,2025-08-24,SCH0163,V,216,184,,Class Teacher,False,True,85.18518518518519,Sunday,True,False
ATT0016223,2025-12-30,SCH0289,5,131,82,True,Headmaster,False,True,62.59541984732825,Tuesday,False,False
ATT0004881,2025-07-12,SCH0208,5,185,147,True,Headmaster,False,True,79.45945945945945,Saturday,False,False
ATT0016299,2025-07-07,SCH0473,5,171,144,True,Clerk,False,True,84.21052631578947,Monday,False,False
ATT0011867,2026-03-19,SCH0124,2,93,72,,Clerk,False,True,77.41935483870968,Thursday,False,False
ATT0007276,2025-09-12,SCH0007,III,138,90,,Clerk,False,True,65.21739130434783,Friday,False,False
ATT0014291,2025-07-04,SCH0001,1,202,158,True,Admin,False,True,78.21782178217822,Friday,False,False
ATT0014519,2025-05-04,0475,7,218,218,True,Headmaster,False,True,100.0,Sunday,True,True
ATT0005526,2025-07-09,0376,3,133,133,True,Unknown,False,True,100.0,Wednesday,False,False
ATT0018711,2025-05-17,SCH0307,8,285,257,True,Headmaster,False,True,90.17543859649123,Saturday,False,False
