procurement_id,date,school_id,vendor_name,grain_type,quantity,unit,total_cost,payment_status,quantity_kg,total_cost_inr,cost_per_kg
MDM005298,2026-03-20,SCH0378,Kumar Supplies,Edible Oil,41000,g,"4,920/-",Pending,41.0,4920.0,120.0
MDM011357,2026-02-06,SCH0105,Kumar & Co.,Edible Oil,52.2 kg,,6264,Pending,52.2,6264.0,120.0
MDM004065,2025-07-30,SCH0421,Kumar Supplies,Pulses,47.9,kg,"Rs. 4,311",Pending,47.9,0.4311,0.009
MDM010975,2025-04-19,SCH0329,S. Agro Works,Edible Oil,16600,Grams,1992,Paid,16.6,1992.0,119.99999999999999
MDM002616,2026-02-10,SCH0295,Singh Brothers,Pulses,17400,Grams,"Rs. 1,566",Paid,17.4,0.1566,0.009
MDM009238,2026-02-09,SCH0053,Sharma Traders,Rice,31.1 kg,,"1,244/-",Paid,31.1,1244.0,40.0
MDM003882,2025-04-25,SCH0426,Goyal Rice Mill,Wheat,28000,g,Rs. 840,Paid,28.0,0.84,0.03
MDM005266,2025-04-04,SCH0494,Kumar General Store,Edible Oil,48.1,kg,"5,772/-",Pending,48.1,5772.0,120.0
MDM008835,2026-01-21,SCH0113,Sharma Traders,Rice,59.0 kg,,"2,360/-",Pending,59.0,2360.0,40.0
MDM011468,2026-03-24,SCH0094,Sharma Traders,Pulses,0.51,Sacks,"2,295/-",Pending,25.5,2295.0,90.0
MDM006795,2026-03-20,SCH0445,S. Agro Works,Rice,0.484,Sacks,968,Pending,24.2,968.0,40.0
MDM000829,2025-05-22,SCH0445,Kumar Supplies,Rice,42.2,kg,"Rs. 1,688",Paid,42.2,0.1688,0.004
MDM009677,2026-01-25,SCH0201,Singh Brothers,Edible Oil,48.4 kg,,5808,Pending,48.4,5808.0,120.0
MDM004339,2025-05-11,SCH0340,Goyal Enterprises,Edible Oil,0.328,Bags,1967,Paid,16.400000000000002,1967.0,119.93902439024389
MDM007788,2025-05-06,SCH0018,Singh Agro,Edible Oil,1.062,Sacks,6372,Pending,53.1,6372.0,120.0
MDM008820,2026-01-26,SCH0419,Goyal Enterprises,Wheat,15.8 kg,,₹474,Pending,15.8,474.0,30.0
MDM001458,2025-12-29,SCH0216,Sharma Traders,Wheat,59.6,kg,1788,Pending,59.6,1788.0,30.0
MDM002665,2025-10-12,S0245,Kumar Supplies,Edible Oil,0.382,Bags,2292,Pending,19.1,2292.0,119.99999999999999
MDM005509,2025-08-03,SCH0023,Kumar Supplies,Lentils,,,"4,608/-",Pending,0.0,4608.0,0.0
MDM000750,2025-11-26,0306,Kumar Supplies,Pulses,,,"3,402/-",Paid,0.0,3402.0,0.0
MDM006299,2025-11-25,SCH0566,Goyal Mill,Lentils,40,KG,3600,Pending,40.0,3600.0,90.0
MDM006692,2025-07-16,SCH0476,Singh Agro,Edible Oil,49600,Grams,"5,952/-",Pending,49.6,5952.0,120.0
MDM008599,2025-06-29,SCH0259,S. Agro Works,Pulses,35100,g,"₹3,159",Pending,35.1,3159.0,90.0
MDM009422,2026-12-03,SCH0187,Goyal Enterprises,Pulses,47.3 kg,,4257,Paid,47.3,4257.0,90.0
MDM004886,2025-07-29,SCH0558,Singh Brothers,Wheat,,,"1,329/-",Pending,0.0,1329.0,0.0
MDM011213,2026-03-19,SCH0058,Singh Brothers,Wheat,55.7 kg,,"₹1,671",Pending,55.7,1671.0,30.0
MDM004194,2025-11-29,SCH0292,Goyal Enterprises,Edible Oil,22.8 kg,,"2,736/-",Pending,22.8,2736.0,120.0
MDM008415,2026-09-02,SCH0511,Kumar & Co.,Edible Oil,39200,Grams,4704,Pending,39.2,4704.0,119.99999999999999
MDM009246,2025-06-11,SCH0342,Sharma Traders,Rice,,,Rs. 820,Paid,0.0,0.82,0.0
MDM007888,2025-10-18,SCH0098,Singh Brothers,Wheat,57.9,Kgs,1737,Paid,57.9,1737.0,30.0
MDM009609,2025-04-16,SCH0303,Goyal Mill,Edible Oil,,,"2,676/-",Pending,0.0,2676.0,0.0
MDM010676,2026-03-30,SCH0496,Kumar General Store,Pulses,0.274,Bori,1233,Pending,13.700000000000001,1233.0,90.0
MDM011630,2025-10-04,SCH0151,Sharma Traders,Edible Oil,36.8,kg,"4,416/-",Pending,36.8,4416.0,120.00000000000001
MDM005338,2026-02-25,SCH0547,Singh Agro,Wheat,44.6 kg,,,Pending,44.6,0.0,0.0
MDM007986,2025-08-26,SCH0040,Kumar Supplies,Wheat,,,1731,Pending,0.0,1731.0,0.0
MDM000294,2026-01-12,SCH0358,Kumar & Co.,Rice,37.7,KG,1508,Paid,37.7,1508.0,40.0
MDM011862,2025-04-13,SCH0143,Singh Brothers,Edible Oil,,,"₹6,828",Pending,0.0,6828.0,0.0
MDM004314,2025-06-01,S0552,Sharma Traders,Pulses,,,"4,941/-",Paid,0.0,4941.0,0.0
MDM010212,2025-11-29,SCH0356,S. Agro Works,Edible Oil,0.226,Bags,1356,Pending,11.3,1356.0,119.99999999999999
MDM004868,2026-01-13,SCH0146,Goyal Rice Mill,Wheat,17400,g,₹522,Paid,17.4,522.0,30.000000000000004
MDM000312,2026-02-18,SCH0186,S. Agro Works,Pulses,55.6 kg,,"5,004/-",Paid,55.6,5004.0,90.0
MDM003317,2026-01-05,0264,Kumar General Store,Wheat,53.2,KG,"1,596/-",Paid,53.2,1596.0,30.0
MDM003586,2025-04-21,SCH0592,Kumar Supplies,Edible Oil,31.8,KG,"3,816/-",Paid,31.8,3816.0,120.0
MDM009379,2025-07-29,SCH0474,Singh Agro,Edible Oil,39.5,Kgs,4740,Paid,39.5,4740.0,120.0
MDM000773,2026-02-10,SCH0418,Singh Agro,Edible Oil,29.3,KGS,"3,516/-",Paid,29.3,3516.0,120.0
MDM000928,2026-03-18,S0265,Goyal Rice Mill,Rice,24,Kgs,960,Paid,24.0,960.0,40.0
MDM006158,2025-05-04,SCH0306,Sharma Traders,Wheat,55900,grams,"₹1,677",Pending,55.9,1677.0,30.0
MDM004954,2025-07-24,SCH0454,Goyal Rice Mill,Atta,1.044,50kg Bags,"Rs. 1,566",Pending,52.2,0.1566,0.0029999999999999996
MDM005023,2025-11-29,SCH0445,Kumar & Co.,Edible Oil,1.134,Bags,"Rs. 6,804",Pending,56.699999999999996,0.6804,0.012
MDM003892,2025-07-19,SCH0076,Sharma Traders,Edible Oil,53.4,kg,,Pending,53.4,0.0,0.0
MDM011857,2025-10-16,SCH0485,Kumar & Co.,Pulses,15000,g,1350,Pending,15.0,1350.0,90.0
MDM011989,2025-11-24,SCH0544,Kumar Supplies,Edible Oil,36500,grams,"₹4,380",Pending,36.5,4380.0,120.0
MDM000305,2025-05-01,SCH0405,Singh Brothers,Rice,,,712,Paid,0.0,712.0,0.0
MDM005759,2025-06-23,SCH0397,Goyal Enterprises,Wheat,37.2 kg,,"₹1,116",Paid,37.2,1116.0,29.999999999999996
MDM006129,2025-11-24,SCH0561,Kumar General Store,Edible Oil,59.7 kg,,"₹7,164",Paid,59.7,7164.0,120.0
MDM000812,2025-06-05,SCH0589,Singh Brothers,Pulses,0.772,50kg Bags,"Rs. 3,474",Paid,38.6,0.3474,0.009
MDM004094,2025-10-03,S0195,Goyal Mill,Edible Oil,58.4 kg,,"7,008/-",Paid,58.4,7008.0,120.0
MDM010724,2025-07-24,SCH0047,S. Agro Works,Pulses,0.5,50kg Bags,2250,Pending,25.0,2250.0,90.0
MDM003998,2025-07-25,SCH0210,Singh Agro,Rice,0.318,Sacks,636,Paid,15.9,636.0,40.0
MDM000248,2025-05-03,SCH0032,Kumar & Co.,Pulses,32.6,kg,2934,Pending,32.6,2934.0,90.0
MDM001618,2026-01-09,SCH0481,Goyal Rice Mill,Atta,0.63,Sacks,Rs. 945,Pending,31.5,0.945,0.03
MDM000201,2025-09-14,SCH0322,Singh Brothers,Wheat,39.3 kg,,1179,Paid,39.3,1179.0,30.000000000000004
MDM004908,2025-05-26,SCH0058,Goyal Enterprises,Rice,23.1,Kgs,₹924,Paid,23.1,924.0,40.0
MDM010408,2026-02-20,SCH0167,Goyal Rice Mill,Pulses,56500,Grams,"₹5,085",Pending,56.5,5085.0,90.0
MDM010543,2026-01-24,0383,Kumar Supplies,Atta,39.3 kg,,1179,Pending,39.3,1179.0,30.000000000000004
MDM004672,2025-05-15,SCH0376,Kumar Supplies,Rice,24,Kgs,₹960,Pending,24.0,960.0,40.0
MDM003488,2026-02-23,SCH0125,Singh Brothers,Edible Oil,52.6 kg,,"6,312/-",Pending,52.6,6312.0,120.0
MDM011677,2025-04-13,S0387,Singh Brothers,Pulses,,,4779,Paid,0.0,4779.0,0.0
MDM009892,2026-03-22,SCH0074,Singh Agro,Edible Oil,,,"6,732/-",Pending,0.0,6732.0,0.0
MDM009298,2025-05-16,SCH0220,Sharma Traders,Edible Oil,51.1,KGS,"6,132/-",Pending,51.1,6132.0,120.0
MDM005900,2026-01-31,SCH0514,Kumar General Store,Rice,56.5,kg,,Pending,56.5,0.0,0.0
MDM003618,2025-11-18,SCH0304,Goyal Mill,Pulses,18.4,kg,1656,Paid,18.4,1656.0,90.0
MDM003932,2026-03-12,SCH0149,Kumar & Co.,Lentils,47700,Grams,"₹4,293",Paid,47.7,4293.0,90.0
MDM009319,2025-11-22,SCH0253,Kumar General Store,Pulses,13.7 kg,,1233,Paid,13.7,1233.0,90.0
MDM003026,2026-01-16,SCH0271,Sharma Traders,Wheat,,,681,Paid,0.0,681.0,0.0
MDM004411,2026-03-26,SCH0567,Kumar Supplies,Pulses,0.634,Sacks,"2,853/-",Paid,31.7,2853.0,90.0
MDM001189,2025-04-13,S0514,Sharma Traders,Edible Oil,18.2,KGS,2184,Pending,18.2,2184.0,120.0
MDM008016,2025-10-10,SCH0419,Kumar & Co.,Pulses,45700,grams,4113,Pending,45.7,4113.0,90.0
MDM004442,2025-11-04,SCH0554,Goyal Rice Mill,Edible Oil,30000,g,"₹3,600",Pending,30.0,3600.0,120.0
MDM010944,2025-10-15,SCH0446,Kumar Supplies,Edible Oil,12,Kgs,1440,Paid,12.0,1440.0,120.0
MDM002755,2025-05-20,SCH0455,Sharma Traders,Rice,48.2,Kgs,1928,Pending,48.2,1928.0,40.0
MDM002953,2026-01-22,SCH0467,Goyal Mill,Rice,0.546,Sacks,1092,Pending,27.3,1092.0,40.0
MDM007147,2026-06-03,SCH0001,Kumar General Store,Edible Oil,,,"2,352/-",Pending,0.0,2352.0,0.0
MDM009076,2025-08-21,SCH0535,Goyal Mill,Wheat,14.1 kg,,423,Pending,14.1,423.0,30.0
MDM008395,2025-05-08,S0549,Kumar & Co.,Rice,42800,grams,1712,Pending,42.8,1712.0,40.0
MDM006537,2025-08-28,SCH0348,Singh Brothers,Pulses,22500,grams,"Rs. 2,025",Paid,22.5,0.2025,0.009000000000000001
MDM010629,2025-06-14,SCH0167,Sharma Traders,Atta,29.6 kg,,888,Paid,29.6,888.0,30.0
MDM003873,2025-11-07,SCH0344,Sharma Traders,Edible Oil,37300,grams,,Pending,37.3,0.0,0.0
MDM000519,2025-07-07,SCH0406,Kumar Supplies,Wheat,,,597/-,Pending,0.0,597.0,0.0
MDM002022,2025-05-21,S0454,Singh Brothers,Edible Oil,23.5,Kgs,,Pending,23.5,0.0,0.0
MDM005166,2025-06-12,SCH0560,Sharma Traders,Pulses,,,"Rs. 3,096",Pending,0.0,0.3096,0.0
MDM005701,2025-06-10,S0591,Kumar General Store,Rice,42.3 kg,,1692,Pending,42.3,1692.0,40.0
MDM001384,2025-04-11,SCH0282,Singh Brothers,Wheat,37.7,KGS,"Rs. 1,131",Pending,37.7,0.1131,0.003
MDM008377,2026-02-16,SCH0401,Goyal Rice Mill,Rice,29.2,KGS,1168,Paid,29.2,1168.0,40.0
MDM002302,2025-12-10,SCH0439,Singh Brothers,Rice,52.6 kg,,"Rs. 2,104",Paid,52.6,0.2104,0.004
MDM005009,2025-06-21,SCH0522,Sharma Traders,Rice,14,KG,560,Pending,14.0,560.0,40.0
MDM007771,2025-09-26,SCH0451,Goyal Enterprises,Rice,16.4,KG,Rs. 656,Paid,16.4,0.656,0.04000000000000001
MDM001218,2025-05-05,S0524,Sharma Traders,Wheat,32600,g,Rs. 978,Paid,32.6,0.978,0.03
MDM008084,2026-01-10,SCH0551,Goyal Mill,Pulses,17.7,KG,1593,Paid,17.7,1593.0,90.0
MDM001276,2025-10-28,SCH0068,Goyal Enterprises,Edible Oil,26.7,KGS,"₹3,204",Pending,26.7,3204.0,120.0
MDM007448,2025-07-15,SCH0497,Singh Agro,Lentils,36.3,KGS,3267,Paid,36.3,3267.0,90.0
MDM004280,2025-09-10,SCH0253,S. Agro Works,Wheat,32.2,kg,966,Pending,32.2,966.0,29.999999999999996
MDM000971,2026-03-20,SCH0266,Goyal Mill,Edible Oil,0.73,bags,"Rs. 4,380",Pending,36.5,0.438,0.012
MDM008150,2025-12-16,SCH0511,Goyal Mill,Pulses,56200,Grams,5058,Paid,56.2,5058.0,90.0
MDM003838,2026-01-20,SCH0594,Kumar & Co.,Rice,13.7,KG,548,Pending,13.7,548.0,40.0
MDM008405,2026-02-08,SCH0347,Kumar Supplies,Wheat,27.1 kg,,₹813,Pending,27.1,813.0,30.0
MDM003446,2025-09-26,S0090,Kumar General Store,Wheat,41800,Grams,"Rs. 1,254",Pending,41.8,0.1254,0.0030000000000000005
MDM004771,2025-09-07,SCH0585,Goyal Mill,Wheat,54300,Grams,1629,Paid,54.3,1629.0,30.0
MDM002629,2025-08-24,SCH0300,Sharma Traders,Wheat,0.276,50kg Bags,414,Pending,13.8,414.0,30.0
MDM005768,2025-11-19,SCH0395,Singh Brothers,Pulses,1.084,bags,4878,Pending,54.2,4878.0,90.0
MDM007446,2025-09-10,SCH0198,Goyal Mill,Lentils,34500,g,"₹3,105",Pending,34.5,3105.0,90.0
MDM010963,2026-01-16,SCH0294,Goyal Enterprises,Rice,0.33,bags,660,Pending,16.5,660.0,40.0
MDM007782,2025-08-07,SCH0170,Kumar General Store,Wheat,31.9 kg,,957,Pending,31.9,957.0,30.0
MDM000614,2026-01-22,S0291,Kumar General Store,Wheat,24.5 kg,,735/-,Pending,24.5,735.0,30.0
MDM003814,2026-03-19,SCH0337,Kumar & Co.,Rice,,,1272,Paid,0.0,1272.0,0.0
MDM005863,2025-08-01,SCH0021,Sharma Traders,Edible Oil,,,"1,524/-",Pending,0.0,1524.0,0.0
MDM010837,2026-03-04,SCH0550,Goyal Rice Mill,Pulses,1.136,Bags,"5,112/-",Paid,56.8,5112.0,90.0
MDM010150,2026-02-22,SCH0184,Singh Agro,Rice,14.1,KG,Rs. 564,Pending,14.1,0.564,0.039999999999999994
MDM000430,2025-12-19,SCH0106,Kumar & Co.,Wheat,23.8,KGS,714,Paid,23.8,714.0,30.0
MDM009129,2026-02-19,SCH0452,Goyal Rice Mill,Pulses,34.2 kg,,"3,078/-",Paid,34.2,3078.0,89.99999999999999
MDM003080,2025-12-20,SCH0381,Singh Agro,Pulses,38.5 kg,,"3,465/-",Pending,38.5,3465.0,90.0
MDM001966,2025-04-16,S0588,Goyal Mill,Rice,,,"₹1,208",Pending,0.0,1208.0,0.0
MDM008138,2025-07-25,S0228,Singh Agro,Rice,,,1856,Pending,0.0,1856.0,0.0
MDM006110,2025-05-21,SCH0065,Goyal Enterprises,Pulses,0.62,Bags,2790,Pending,31.0,2790.0,90.0
MDM001787,2025-08-26,SCH0527,Kumar Supplies,Rice,21.5,KG,Rs. 860,Paid,21.5,0.86,0.04
MDM000397,2025-10-13,SCH0200,Goyal Mill,Edible Oil,0.5720000000000001,50kg Bags,"₹3,432",Pending,28.6,3432.0,120.0
MDM006921,2025-04-26,SCH0083,Goyal Enterprises,Edible Oil,49700,grams,"Rs. 5,964",Pending,49.7,0.5964,0.012
MDM007202,2025-10-10,SCH0348,Singh Agro,Rice,19.7,KGS,Rs. 788,Pending,19.7,0.788,0.04
MDM006241,2025-07-10,0550,Goyal Mill,Lentils,0.9940000000000001,50kg Bags,4473,Pending,49.7,4473.0,90.0
MDM007898,2025-09-19,SCH0040,Sharma Traders,Wheat,11.5 kg,,Rs. 345,Paid,11.5,0.345,0.03
MDM008742,2025-08-10,SCH0178,Goyal Rice Mill,Edible Oil,25.9,KGS,3108,Pending,25.9,3108.0,120.0
MDM011027,2025-08-15,SCH0298,Kumar Supplies,Pulses,46.9,KG,"₹4,221",Pending,46.9,4221.0,90.0
MDM000748,2026-03-07,SCH0193,Sharma Traders,Lentils,20.2 kg,,1818,Paid,20.2,1818.0,90.0
MDM004032,2025-05-10,SCH0015,Goyal Mill,Pulses,,,3753,Pending,0.0,3753.0,0.0
MDM001840,2025-06-20,S0253,Kumar Supplies,Edible Oil,45.9,KGS,5508,Pending,45.9,5508.0,120.0
MDM009241,2025-12-07,S0224,Singh Agro,Rice,25.1 kg,,1004,Pending,25.1,1004.0,40.0
MDM009254,2025-09-24,0232,S. Agro Works,Lentils,,,"Rs. 2,772",Paid,0.0,0.2772,0.0
MDM009913,2025-08-08,SCH0311,Goyal Enterprises,Edible Oil,,,6456,Pending,0.0,6456.0,0.0
MDM003843,2025-11-02,SCH0233,Kumar General Store,Edible Oil,22.5,Kgs,"₹2,700",Paid,22.5,2700.0,120.0
MDM009141,2026-02-20,SCH0379,Goyal Rice Mill,Rice,19300,g,772,Paid,19.3,772.0,40.0
MDM005653,2026-12-02,SCH0255,Sharma Traders,Pulses,,,"Rs. 2,439",Pending,0.0,0.2439,0.0
MDM011077,2025-07-09,S0587,Goyal Mill,Edible Oil,42.2,KGS,,Pending,42.2,0.0,0.0
MDM005528,2025-12-29,SCH0277,Kumar Supplies,Wheat,49.8,kg,"₹1,494",Pending,49.8,1494.0,30.0
MDM011976,2025-10-10,SCH0008,Singh Brothers,Lentils,1.198,Sacks,5391,Paid,59.9,5391.0,90.0
MDM002772,2025-07-08,SCH0162,Kumar & Co.,Pulses,54.7,Kgs,"₹4,923",Pending,54.7,4923.0,90.0
MDM004388,2025-06-22,SCH0154,S. Agro Works,Rice,,,"Rs. 1,056",Paid,0.0,0.1056,0.0
MDM002902,2026-02-08,SCH0080,Singh Agro,Edible Oil,23500,g,2820,Paid,23.5,2820.0,120.0
MDM002465,2025-07-21,SCH0077,Singh Agro,Pulses,53.0 kg,,4770,Pending,53.0,4770.0,90.0
MDM007700,2026-02-09,0081,Singh Agro,Edible Oil,34.3,kg,4116,Pending,34.3,4116.0,120.00000000000001
MDM007554,2025-04-27,SCH0542,Kumar Supplies,Wheat,33,kg,990,Pending,33.0,990.0,30.0
MDM001374,2026-09-01,SCH0366,S. Agro Works,Edible Oil,,,5400,Pending,0.0,5400.0,0.0
MDM009028,2025-10-15,SCH0356,Kumar & Co.,Edible Oil,1.012,Sacks,,Paid,50.6,0.0,0.0
MDM001154,2026-01-18,SCH0221,Sharma Traders,Pulses,29.5 kg,,"₹2,655",Paid,29.5,2655.0,90.0
MDM009025,2026-02-23,SCH0548,S. Agro Works,Rice,27,KGS,"1,080/-",Pending,27.0,1080.0,40.0
MDM003205,2025-06-21,SCH0226,Kumar Supplies,Edible Oil,0.394,50kg Bags,"₹2,364",Paid,19.7,2364.0,120.0
MDM005008,2025-07-02,SCH0059,Kumar General Store,Rice,37,KGS,1480,Pending,37.0,1480.0,40.0
MDM000219,2025-09-26,SCH0517,Singh Agro,Edible Oil,,,"₹6,948",Paid,0.0,6948.0,0.0
MDM001143,2026-01-24,SCH0499,S. Agro Works,Wheat,52.1 kg,,"₹1,563",Paid,52.1,1563.0,30.0
MDM007106,2025-06-05,SCH0102,Sharma Traders,Pulses,,,5094,Pending,0.0,5094.0,0.0
MDM011378,2025-08-14,SCH0179,Sharma Traders,Edible Oil,45700,Grams,"₹5,484",Pending,45.7,5484.0,119.99999999999999
MDM011113,2026-03-16,SCH0443,Singh Brothers,Rice,30400,g,"₹1,216",Paid,30.4,1216.0,40.0
MDM009449,2026-03-16,SCH0372,Singh Agro,Rice,0.39,Sacks,780,Pending,19.5,780.0,40.0
MDM007601,2026-06-02,SCH0504,Sharma Traders,Rice,0.7959999999999999,50kg Bags,1592,Paid,39.8,1592.0,40.0
MDM011139,2026-02-18,SCH0020,Sharma Traders,Pulses,31100,g,"₹2,799",Paid,31.1,2799.0,90.0
MDM004336,2026-01-11,SCH0079,Sharma Traders,Pulses,32.9 kg,,2961,Pending,32.9,2961.0,90.0
MDM005400,2025-05-05,SCH0041,Goyal Mill,Edible Oil,54,KG,,Pending,54.0,0.0,0.0
MDM010937,2025-07-27,SCH0239,Goyal Rice Mill,Rice,25.3 kg,,1012,Paid,25.3,1012.0,40.0
MDM008996,2025-09-06,SCH0203,Sharma Traders,Wheat,0.912,50kg Bags,1368,Paid,45.6,1368.0,30.0
MDM007616,2025-07-30,SCH0564,Goyal Enterprises,Pulses,34500,grams,"3,105/-",Paid,34.5,3105.0,90.0
MDM001714,2026-06-01,0589,Kumar Supplies,Wheat,,,,Paid,0.0,0.0,0.0
MDM008244,2025-11-09,SCH0595,Goyal Mill,Atta,0.502,Sacks,₹753,Pending,25.1,753.0,30.0
MDM009279,2025-07-26,SCH0384,Singh Brothers,Edible Oil,22000,grams,2640,Paid,22.0,2640.0,120.0
MDM002334,2025-12-12,SCH0318,Kumar & Co.,Lentils,,,"2,466/-",Paid,0.0,2466.0,0.0
MDM008876,2025-04-18,S0144,S. Agro Works,Wheat,,,Rs. 510,Pending,0.0,0.51,0.0
MDM011298,2025-04-13,SCH0574,Sharma Traders,Wheat,0.348,Bori,Rs. 522,Pending,17.4,0.522,0.030000000000000002
MDM006621,2025-07-26,S0150,S. Agro Works,Rice,24500,g,980,Paid,24.5,980.0,40.0
MDM002565,2025-10-11,SCH0259,Singh Brothers,Rice,38.7,KG,1548,Pending,38.7,1548.0,40.0
MDM010508,2025-04-12,SCH0578,Sharma Traders,Edible Oil,,,"₹4,824",Paid,0.0,4824.0,0.0
MDM003795,2025-09-05,SCH0595,Goyal Rice Mill,Wheat,51800,grams,"₹1,554",Pending,51.8,1554.0,30.0
MDM006302,2025-10-29,SCH0225,Singh Agro,Rice,,,,Paid,0.0,0.0,0.0
MDM010965,2025-06-29,SCH0222,Sharma Traders,Rice,25800,grams,1032,Pending,25.8,1032.0,40.0
MDM006190,2025-12-27,S0155,Kumar General Store,Edible Oil,43.2 kg,,5184,Paid,43.2,5184.0,119.99999999999999
MDM003753,2025-09-11,0343,Goyal Rice Mill,Rice,0.56,50kg Bags,"₹1,120",Pending,28.000000000000004,1120.0,39.99999999999999
MDM008526,2025-07-26,SCH0327,Singh Agro,Rice,,,"₹1,012",Paid,0.0,1012.0,0.0
MDM006703,2025-12-27,SCH0168,Sharma Traders,Pulses,53300,Grams,4797,Paid,53.3,4797.0,90.0
MDM004101,2025-08-24,SCH0056,Singh Brothers,Edible Oil,16.5,Kgs,1980,Paid,16.5,1980.0,120.0
MDM000136,2026-01-13,SCH0206,Sharma Traders,Edible Oil,55.9,Kgs,6708,Paid,55.9,6708.0,120.0
MDM011912,2025-04-26,SCH0561,Kumar Supplies,Pulses,49.6,KG,"Rs. 4,464",Paid,49.6,0.4464,0.009
MDM008652,2026-01-24,S0496,Sharma Traders,Edible Oil,,,1272,Pending,0.0,1272.0,0.0
MDM000980,2025-05-13,SCH0562,Sharma Traders,Atta,20.3 kg,,,Paid,20.3,0.0,0.0
MDM002928,2025-08-13,SCH0115,Kumar & Co.,Edible Oil,53.9,KGS,"₹6,468",Pending,53.9,6468.0,120.0
MDM000009,2025-09-23,SCH0248,Singh Brothers,Rice,22500,g,₹900,Pending,22.5,900.0,40.0
MDM003232,2025-04-24,SCH0560,Kumar General Store,Pulses,1.086,Sacks,4887,Pending,54.300000000000004,4887.0,90.0
MDM008840,2025-09-15,SCH0503,Sharma Traders,Pulses,56.3 kg,,"5,067/-",Pending,56.3,5067.0,90.0
MDM000380,2026-01-31,SCH0137,Goyal Mill,Rice,39.6 kg,,"₹1,584",Pending,39.6,1584.0,40.0
MDM002389,2025-07-30,SCH0519,Goyal Rice Mill,Pulses,44.2 kg,,3978,Pending,44.2,3978.0,90.0
MDM006673,2026-03-16,SCH0265,Goyal Rice Mill,Edible Oil,46.6,KGS,5592,Pending,46.6,5592.0,120.0
MDM007403,2026-03-17,SCH0032,Goyal Mill,Atta,21100,Grams,633,Paid,21.1,633.0,29.999999999999996
MDM006560,2025-10-26,SCH0348,Goyal Enterprises,Edible Oil,21400,Grams,2568,Pending,21.4,2568.0,120.00000000000001
MDM007294,2025-04-28,SCH0501,Goyal Mill,Wheat,1.072,Sacks,,Pending,53.6,0.0,0.0
