procurement_id,date,school_id,vendor_name,grain_type,quantity,unit,total_cost,payment_status
MDM004339,2025-05-11,SCH0340,Goyal Enterprises,oil,0.328,BAG,1967,Paid
MDM007788,2025-05-06,SCH0018,Singh Agro,oil,1.062,SACK,6372,Pending
MDM008820,2026-01-26,SCH0419,Goyal Enterprises,Wheat,,,474,Due
MDM001458,2025-12-29,SCH0216,Sharma & Sons,Wheat,59.6,KG,1788,
MDM002665,2025-10-12,SCH0245,Kumar Supplies,Mustard Oil,0.382,BAG,2292,
MDM005509,2025-08-03,SCH0023,Kumar Supplies,Dal,,,4608,Pending
MDM000750,2025-11-26,SCH0306,Kumar Supplies,Dal,,,3402,Paid
MDM006299,2025-11-25,SCH0566,Goyal Mill,Dal,40.0,KG,3600,Due
MDM006692,2025-07-16,SCH0476,Singh Agro,oil,49600.0,G,5952,
MDM008599,2025-06-29,SCH0259,S. Agro Works,Dal,35100.0,G,3159,Pending
MDM009422,2026-03-12,SCH0187,Goyal Enterprises,Dal,,,4257,Paid
MDM004886,2025-07-29,SCH0558,Singh Brothers,Wheat,,,1329,Due
MDM011213,2026-03-19,SCH0058,Singh Brothers,Wheat,,,1671,Pending
MDM004194,2025-11-29,SCH0292,Goyal Enterprises,Cooking Oil,,,2736,Pending
MDM008415,2026-02-09,SCH0511,Kumar & Co.,Cooking Oil,39200.0,G,4704,Due
MDM009246,2025-06-11,SCH0342,Sharma Traders Pvt Ltd,Rice,,,820,Paid
MDM007888,2025-10-18,SCH0098,Singh Brothers,Wheat,57.9,KG,1737,Paid
MDM009609,2025-04-16,SCH0303,Goyal Mill,Mustard Oil,,,2676,Pending
MDM010676,2026-03-30,SCH0496,Kumar General Store,Dal,0.274,BORI,1233,Due
MDM011630,2025-10-04,SCH0151,Sharma Traders Pvt Ltd,Cooking Oil,36.8,KG,4416,Pending
MDM005338,2026-02-25,SCH0547,Singh Agro,Wheat,,,,
MDM007986,2025-08-26,SCH0040,Kumar Supplies,Wheat,,,1731,
MDM000294,2026-01-12,SCH0358,Kumar & Co.,Rice,37.7,KG,1508,Paid
MDM011862,2025-04-13,SCH0143,Singh Brothers,Mustard Oil,,,6828,Pending
MDM004314,2025-06-01,SCH0552,Sharma Traders,Dal,,,4941,Paid
MDM010212,2025-11-29,SCH0356,S. Agro Works,Cooking Oil,0.226,BAG,1356,Pending
MDM004868,2026-01-13,SCH0146,Goyal Rice Mill,Wheat,17400.0,G,522,Paid
MDM000312,2026-02-18,SCH0186,S. Agro Works,Dal,,,5004,Paid
MDM003317,2026-01-05,SCH0264,Kumar General Store,Wheat,53.2,KG,1596,Paid
MDM003586,2025-04-21,SCH0592,Kumar Supplies,Mustard Oil,31.8,KG,3816,Paid
MDM009379,2025-07-29,SCH0474,Singh Agro,oil,39.5,KG,4740,Paid
MDM000773,2026-02-10,SCH0418,Singh Agro,oil,29.3,KG,3516,Cleared
MDM000928,2026-03-18,SCH0265,Goyal Rice Mill,Rice,24.0,KG,960,Paid
MDM006158,2025-04-05,SCH0306,Sharma Traders,Wheat,55900.0,G,1677,Pending
MDM004954,2025-07-24,SCH0454,Goyal Rice Mill,Atta,1.044,BAG_50KG,1566,
MDM005023,2025-11-29,SCH0445,Kumar & Co.,Mustard Oil,1.134,BAG,6804,Pending
MDM003892,2025-07-19,SCH0076,Sharma Traders Pvt Ltd,Mustard Oil,53.4,KG,,Pending
MDM011857,2025-10-16,SCH0485,Kumar & Co.,Dal,15000.0,G,1350,
MDM011989,2025-11-24,SCH0544,Kumar Supplies,Mustard Oil,36500.0,G,4380,Pending
MDM000305,2025-05-01,SCH0405,Singh Brothers,Rice,,,712,Paid
MDM005759,2025-06-23,SCH0397,Goyal Enterprises,Wheat,,,1116,Cleared
MDM006129,2025-11-24,SCH0561,Kumar General Store,Mustard Oil,,,7164,Cleared
MDM000812,2025-05-06,SCH0589,Singh Brothers,Dal,0.772,BAG_50KG,3474,Paid
MDM004094,2025-10-03,SCH0195,Goyal Mill,Cooking Oil,,,7008,Paid
MDM010724,2025-07-24,SCH0047,S. Agro Works,Dal,0.5,BAG_50KG,2250,Pending
MDM003998,2025-07-25,SCH0210,Singh Agro,Rice,0.318,SACK,636,Cleared
MDM000248,2025-05-03,SCH0032,Kumar & Co.,Dal,32.6,KG,2934,Pending
MDM001618,2026-01-09,SCH0481,Goyal Rice Mill,Atta,0.63,SACK,945,
MDM000201,2025-09-14,SCH0322,Singh Brothers,Wheat,,,1179,Cleared
MDM004908,2025-05-26,SCH0058,Goyal Enterprises,Rice,23.1,KG,924,Paid
MDM010408,2026-02-20,SCH0167,Goyal Rice Mill,Dal,56500.0,G,5085,Pending
MDM010543,2026-01-24,SCH0383,Kumar Supplies,Atta,,,1179,
MDM004672,2025-05-15,SCH0376,Kumar Supplies,Rice,24.0,KG,960,Pending
MDM003488,2026-02-23,SCH0125,Singh Brothers,Mustard Oil,,,6312,Due
MDM011677,2025-04-13,SCH0387,Singh Brothers,Dal,,,4779,Paid
MDM009892,2026-03-22,SCH0074,Singh Agro,Cooking Oil,,,6732,
MDM009298,2025-05-16,SCH0220,Sharma Traders,Mustard Oil,51.1,KG,6132,Due
MDM005900,2026-01-31,SCH0514,Kumar General Store,Rice,56.5,KG,,Due
MDM003618,2025-11-18,SCH0304,Goyal Mill,Dal,18.4,KG,1656,Paid
MDM003932,2026-03-12,SCH0149,Kumar & Co.,Dal,47700.0,G,4293,Paid
MDM009319,2025-11-22,SCH0253,Kumar General Store,Dal,,,1233,Paid
MDM003026,2026-01-16,SCH0271,Sharma Traders,Wheat,,,681,Paid
MDM004411,2026-03-26,SCH0567,Kumar Supplies,Dal,0.634,SACK,2853,Paid
MDM001189,2025-04-13,SCH0514,Sharma & Sons,Mustard Oil,18.2,KG,2184,Pending
MDM008016,2025-10-10,SCH0419,Kumar & Co.,Dal,45700.0,G,4113,
MDM004442,2025-11-04,SCH0554,Goyal Rice Mill,Mustard Oil,30000.0,G,3600,Due
MDM010944,2025-10-15,SCH0446,Kumar Supplies,oil,12.0,KG,1440,Paid
MDM002755,2025-05-20,SCH0455,Sharma Traders Pvt Ltd,Rice,48.2,KG,1928,
MDM002953,2026-01-22,SCH0467,Goyal Mill,Rice,0.546,SACK,1092,Due
MDM007147,2026-03-06,SCH0001,Kumar General Store,Cooking Oil,,,2352,
MDM009076,2025-08-21,SCH0535,Goyal Mill,Wheat,,,423,Due
MDM008395,2025-05-08,SCH0549,Kumar & Co.,Rice,42800.0,G,1712,Pending
MDM006537,2025-08-28,SCH0348,Singh Brothers,Dal,22500.0,G,2025,Paid
MDM010629,2025-06-14,SCH0167,Sharma & Sons,Atta,,,888,Paid
MDM003873,2025-11-07,SCH0344,Sharma & Sons,Cooking Oil,37300.0,G,,Pending
MDM000519,2025-07-07,SCH0406,Kumar Supplies,Wheat,,,597,Pending
MDM002022,2025-05-21,SCH0454,Singh Brothers,Mustard Oil,23.5,KG,,Due
MDM005166,2025-12-06,SCH0560,Sharma Traders Pvt Ltd,Dal,,,3096,Due
MDM005701,2025-06-10,SCH0591,Kumar General Store,Rice,,,1692,Due
MDM001384,2025-04-11,SCH0282,Singh Brothers,Wheat,37.7,KG,1131,
MDM008377,2026-02-16,SCH0401,Goyal Rice Mill,Rice,29.2,KG,1168,Paid
MDM002302,2025-10-12,SCH0439,Singh Brothers,Rice,,,2104,Cleared
MDM005009,2025-06-21,SCH0522,Sharma Traders Pvt Ltd,Rice,14.0,KG,560,Pending
MDM007771,2025-09-26,SCH0451,Goyal Enterprises,Rice,16.4,KG,656,Paid
MDM001218,2025-05-05,SCH0524,Sharma & Sons,Wheat,32600.0,G,978,Paid
MDM008084,2026-01-10,SCH0551,Goyal Mill,Dal,17.7,KG,1593,Paid
MDM001276,2025-10-28,SCH0068,Goyal Enterprises,Mustard Oil,26.7,KG,3204,
MDM007448,2025-07-15,SCH0497,Singh Agro,Dal,36.3,KG,3267,Paid
MDM004280,2025-10-09,SCH0253,S. Agro Works,Wheat,32.2,KG,966,Pending
MDM000971,2026-03-20,SCH0266,Goyal Mill,Cooking Oil,0.73,BAG,4380,Pending
MDM008150,2025-12-16,SCH0511,Goyal Mill,Dal,56200.0,G,5058,Paid
MDM003838,2026-01-20,SCH0594,Kumar & Co.,Rice,13.7,KG,548,Pending
MDM008405,2026-02-08,SCH0347,Kumar Supplies,Wheat,,,813,
MDM003446,2025-09-26,SCH0090,Kumar General Store,Wheat,41800.0,G,1254,Pending
MDM004771,2025-07-09,SCH0585,Goyal Mill,Wheat,54300.0,G,1629,Cleared
MDM002629,2025-08-24,SCH0300,Sharma Traders,Wheat,0.276,BAG_50KG,414,Pending
MDM005768,2025-11-19,SCH0395,Singh Brothers,Dal,1.084,BAG,4878,Pending
MDM007446,2025-09-10,SCH0198,Goyal Mill,Dal,34500.0,G,3105,Pending
MDM010963,2026-01-16,SCH0294,Goyal Enterprises,Rice,0.33,BAG,660,Pending
MDM007782,2025-07-08,SCH0170,Kumar General Store,Wheat,,,957,Pending
MDM000614,2026-01-22,SCH0291,Kumar General Store,Wheat,,,735,Due
MDM003814,2026-03-19,SCH0337,Kumar & Co.,Rice,,,1272,Paid
MDM005863,2025-08-01,SCH0021,Sharma Traders,Cooking Oil,,,1524,
MDM010837,2026-03-04,SCH0550,Goyal Rice Mill,Dal,1.136,BAG,5112,Paid
MDM010150,2026-02-22,SCH0184,Singh Agro,Rice,14.1,KG,564,
MDM000430,2025-12-19,SCH0106,Kumar & Co.,Wheat,23.8,KG,714,Paid
MDM009129,2026-02-19,SCH0452,Goyal Rice Mill,Dal,,,3078,Paid
MDM003080,2025-12-20,SCH0381,Singh Agro,Dal,,,3465,Pending
MDM001966,2025-04-16,SCH0588,Goyal Mill,Rice,,,1208,
MDM008138,2025-07-25,SCH0228,Singh Agro,Rice,,,1856,Pending
MDM006110,2025-05-21,SCH0065,Goyal Enterprises,Dal,0.62,BAG,2790,Pending
MDM001787,2025-08-26,SCH0527,Kumar Supplies,Rice,21.5,KG,860,Paid
MDM000397,2025-10-13,SCH0200,Goyal Mill,oil,0.5720000000000001,BAG_50KG,3432,Pending
MDM006921,2025-04-26,SCH0083,Goyal Enterprises,Mustard Oil,49700.0,G,5964,
MDM007202,2025-10-10,SCH0348,Singh Agro,Rice,19.7,KG,788,
MDM006241,2025-10-07,SCH0550,Goyal Mill,Dal,0.9940000000000001,BAG_50KG,4473,Due
MDM007898,2025-09-19,SCH0040,Sharma Traders Pvt Ltd,Wheat,,,345,Paid
MDM008742,2025-08-10,SCH0178,Goyal Rice Mill,Mustard Oil,25.9,KG,3108,Pending
MDM011027,2025-08-15,SCH0298,Kumar Supplies,Dal,46.9,KG,4221,Due
MDM000748,2026-03-07,SCH0193,Sharma & Sons,Dal,,,1818,Cleared
MDM004032,2025-05-10,SCH0015,Goyal Mill,Dal,,,3753,Pending
MDM001840,2025-06-20,SCH0253,Kumar Supplies,Mustard Oil,45.9,KG,5508,Due
MDM009241,2025-12-07,SCH0224,Singh Agro,Rice,,,1004,Pending
MDM009254,2025-09-24,SCH0232,S. Agro Works,Dal,,,2772,Paid
MDM009913,2025-08-08,SCH0311,Goyal Enterprises,Cooking Oil,,,6456,Pending
MDM003843,2025-11-02,SCH0233,Kumar General Store,Mustard Oil,22.5,KG,2700,Paid
MDM009141,2026-02-20,SCH0379,Goyal Rice Mill,Rice,19300.0,G,772,Paid
MDM005653,2026-02-12,SCH0255,Sharma Traders Pvt Ltd,Dal,,,2439,Pending
MDM011077,2025-09-07,SCH0587,Goyal Mill,Mustard Oil,42.2,KG,,
MDM005528,2025-12-29,SCH0277,Kumar Supplies,Wheat,49.8,KG,1494,Pending
MDM011976,2025-10-10,SCH0008,Singh Brothers,Dal,1.198,SACK,5391,Paid
MDM002772,2025-08-07,SCH0162,Kumar & Co.,Dal,54.7,KG,4923,Pending
MDM004388,2025-06-22,SCH0154,S. Agro Works,Rice,,,1056,Paid
MDM002902,2026-02-08,SCH0080,Singh Agro,Mustard Oil,23500.0,G,2820,Paid
MDM002465,2025-07-21,SCH0077,Singh Agro,Dal,,,4770,Pending
MDM007700,2026-02-09,SCH0081,Singh Agro,oil,34.3,KG,4116,Pending
MDM007554,2025-04-27,SCH0542,Kumar Supplies,Wheat,33.0,KG,990,Pending
MDM001374,2026-01-09,SCH0366,S. Agro Works,Mustard Oil,,,5400,Pending
MDM009028,2025-10-15,SCH0356,Kumar & Co.,Cooking Oil,1.012,SACK,,Cleared
MDM001154,2026-01-18,SCH0221,Sharma Traders,Dal,,,2655,Paid
MDM009025,2026-02-23,SCH0548,S. Agro Works,Rice,27.0,KG,1080,Pending
MDM003205,2025-06-21,SCH0226,Kumar Supplies,Mustard Oil,0.394,BAG_50KG,2364,Cleared
MDM005008,2025-07-02,SCH0059,Kumar General Store,Rice,37.0,KG,1480,Pending
MDM000219,2025-09-26,SCH0517,Singh Agro,Mustard Oil,,,6948,Paid
MDM001143,2026-01-24,SCH0499,S. Agro Works,Wheat,,,1563,Paid
MDM007106,2025-05-06,SCH0102,Sharma Traders Pvt Ltd,Dal,,,5094,Pending
MDM011378,2025-08-14,SCH0179,Sharma Traders,Mustard Oil,45700.0,G,5484,Pending
MDM011113,2026-03-16,SCH0443,Singh Brothers,Rice,30400.0,G,1216,Paid
MDM009449,2026-03-16,SCH0372,Singh Agro,Rice,0.39,SACK,780,Pending
MDM007601,2026-02-06,SCH0504,Sharma & Sons,Rice,0.7959999999999999,BAG_50KG,1592,Cleared
MDM011139,2026-02-18,SCH0020,Sharma Traders,Dal,31100.0,G,2799,Paid
MDM004336,2026-01-11,SCH0079,Sharma & Sons,Dal,,,2961,Due
MDM005400,2025-05-05,SCH0041,Goyal Mill,oil,54.0,KG,,Due
MDM010937,2025-07-27,SCH0239,Goyal Rice Mill,Rice,,,1012,Paid
MDM008996,2025-09-06,SCH0203,Sharma Traders,Wheat,0.912,BAG_50KG,1368,Paid
MDM007616,2025-07-30,SCH0564,Goyal Enterprises,Dal,34500.0,G,3105,Paid
MDM001714,2026-01-06,SCH0589,Kumar Supplies,Wheat,,,,Paid
MDM008244,2025-09-11,SCH0595,Goyal Mill,Atta,0.502,SACK,753,Pending
MDM009279,2025-07-26,SCH0384,Singh Brothers,Mustard Oil,22000.0,G,2640,Cleared
MDM002334,2025-12-12,SCH0318,Kumar & Co.,Dal,,,2466,Paid
MDM008876,2025-04-18,SCH0144,S. Agro Works,Wheat,,,510,Pending
MDM011298,2025-04-13,SCH0574,Sharma & Sons,Wheat,0.348,BORI,522,Pending
MDM006621,2025-07-26,SCH0150,S. Agro Works,Rice,24500.0,G,980,Cleared
MDM002565,2025-10-11,SCH0259,Singh Brothers,Rice,38.7,KG,1548,
MDM010508,2025-04-12,SCH0578,Sharma Traders Pvt Ltd,oil,,,4824,Paid
MDM003795,2025-09-05,SCH0595,Goyal Rice Mill,Wheat,51800.0,G,1554,Pending
MDM006302,2025-10-29,SCH0225,Singh Agro,Rice,,,,Paid
MDM010965,2025-06-29,SCH0222,Sharma & Sons,Rice,25800.0,G,1032,Pending
MDM006190,2025-12-27,SCH0155,Kumar General Store,Mustard Oil,,,5184,Paid
MDM003753,2025-09-11,SCH0343,Goyal Rice Mill,Rice,0.56,BAG_50KG,1120,
MDM008526,2025-07-26,SCH0327,Singh Agro,Rice,,,1012,Paid
MDM006703,2025-12-27,SCH0168,Sharma Traders,Dal,53300.0,G,4797,Paid
MDM004101,2025-08-24,SCH0056,Singh Brothers,Mustard Oil,16.5,KG,1980,Paid
MDM000136,2026-01-13,SCH0206,Sharma Traders Pvt Ltd,Mustard Oil,55.9,KG,6708,Paid
MDM011912,2025-04-26,SCH0561,Kumar Supplies,Dal,49.6,KG,4464,Cleared
MDM008652,2026-01-24,SCH0496,Sharma Traders Pvt Ltd,Mustard Oil,,,1272,Pending
MDM000980,2025-05-13,SCH0562,Sharma Traders Pvt Ltd,Atta,,,,Paid
MDM002928,2025-08-13,SCH0115,Kumar & Co.,Mustard Oil,53.9,KG,6468,Pending
MDM000009,2025-09-23,SCH0248,Singh Brothers,Rice,22500.0,G,900,Due
MDM003232,2025-04-24,SCH0560,Kumar General Store,Dal,1.086,SACK,4887,Pending
MDM008840,2025-09-15,SCH0503,Sharma Traders Pvt Ltd,Dal,,,5067,Pending
MDM000380,2026-01-31,SCH0137,Goyal Mill,Rice,,,1584,Pending
MDM002389,2025-07-30,SCH0519,Goyal Rice Mill,Dal,,,3978,Due
MDM006673,2026-03-16,SCH0265,Goyal Rice Mill,oil,46.6,KG,5592,Pending
MDM007403,2026-03-17,SCH0032,Goyal Mill,Atta,21100.0,G,633,Paid
MDM006560,2025-10-26,SCH0348,Goyal Enterprises,Cooking Oil,21400.0,G,2568,
MDM007294,2025-04-28,SCH0501,Goyal Mill,Wheat,1.072,SACK,,Due
MDM010114,2026-01-13,SCH0277,Goyal Mill,Wheat,58.9,KG,1767,
MDM002352,2025-09-13,SCH0427,Singh Brothers,Dal,40.5,KG,3645,Cleared
MDM011134,2025-10-09,SCH0166,S. Agro Works,Wheat,,,759,Pending
MDM000458,2025-11-29,SCH0122,Goyal Rice Mill,Dal,0.8859999999999999,BAG,3987,Paid
MDM007587,2026-03-18,SCH0539,Singh Brothers,Dal,48500.0,G,4365,
MDM011249,2025-06-07,SCH0039,Goyal Enterprises,Dal,0.446,BAG,,Due
MDM001040,2025-08-09,SCH0361,Sharma Traders,Rice,,,1308,Due
MDM003373,2026-01-07,SCH0216,Sharma & Sons,Mustard Oil,11.8,KG,1416,Paid
MDM004605,2025-08-26,SCH0125,Goyal Enterprises,Dal,14.6,KG,1314,Due
MDM011853,2025-04-24,SCH0497,Kumar General Store,Rice,,,1324,
MDM004157,2025-10-10,SCH0453,Goyal Enterprises,Mustard Oil,25500.0,G,3060,
MDM001044,2026-01-14,SCH0488,Goyal Rice Mill,Wheat,1.118,BORI,1677,Due
MDM010514,2025-10-12,SCH0319,Kumar & Co.,Wheat,11500.0,G,345,
MDM000100,2025-08-07,SCH0409,Goyal Rice Mill,Mustard Oil,,,5700,
MDM005818,2025-10-21,SCH0295,Goyal Rice Mill,Mustard Oil,,,5784,Cleared
MDM011621,2025-12-04,SCH0539,Sharma & Sons,Dal,,,3447,Cleared
MDM006619,2025-07-06,SCH0043,Singh Agro,Rice,,,1084,Cleared
MDM002020,2025-11-28,SCH0439,Goyal Enterprises,Dal,55900.0,G,5031,
MDM010402,2025-07-15,SCH0378,Kumar & Co.,oil,46.1,KG,5532,Paid
MDM009864,2025-10-21,SCH0118,Sharma & Sons,Mustard Oil,0.782,BAG,4692,Pending
MDM008538,2025-05-18,SCH0541,Singh Agro,Rice,12900.0,G,516,Paid
MDM005841,2025-07-25,SCH0468,Sharma Traders Pvt Ltd,Atta,0.9059999999999999,BAG,1359,Pending
MDM004025,2025-07-04,SCH0546,Kumar General Store,Dal,42.7,KG,3843,
MDM004554,2025-10-04,SCH0539,Kumar & Co.,Rice,,,1796,
MDM007721,2025-09-09,SCH0234,S. Agro Works,Wheat,0.684,SACK,1026,
MDM002151,2026-03-27,SCH0019,Sharma & Sons,Wheat,40400.0,G,1212,
MDM004246,2025-12-11,SCH0585,Singh Brothers,Wheat,,,1248,Paid
MDM009847,2026-01-17,SCH0314,Goyal Rice Mill,Dal,,,,Due
MDM007175,2025-10-06,SCH0545,Goyal Rice Mill,Rice,,,1440,Pending
MDM005280,2025-07-02,SCH0457,Sharma Traders,Mustard Oil,,,5088,Paid
MDM004499,2025-09-27,SCH0264,Kumar Supplies,Dal,42.3,KG,3806,Cleared
MDM009564,2025-06-12,SCH0227,Sharma & Sons,Cooking Oil,,,1860,Due
MDM006182,2025-11-02,SCH0311,Sharma & Sons,Rice,22.1,KG,,Pending
MDM003283,2025-10-29,SCH0323,Sharma & Sons,Atta,1.01,BAG,1515,Due
MDM011056,2025-10-12,SCH0079,Singh Agro,Rice,21600.0,G,864,Due
MDM006663,2025-11-28,SCH0056,Sharma & Sons,Rice,0.352,SACK,704,Paid
MDM004920,2025-06-16,SCH0431,Kumar Supplies,Wheat,1.032,SACK,1548,Pending
MDM005991,2025-12-02,SCH0368,Singh Agro,Rice,30.4,KG,,Cleared
MDM011229,2025-09-30,SCH0589,Kumar Supplies,Rice,42100.0,G,1684,Pending
MDM010619,2025-04-01,SCH0434,Sharma & Sons,oil,52600.0,G,6312,Paid
MDM005782,2026-02-01,SCH0229,Goyal Mill,Cooking Oil,34100.0,G,4092,
MDM002251,2025-10-15,SCH0357,Singh Brothers,Rice,,,548,Pending
MDM008442,2025-04-23,SCH0598,Goyal Mill,Mustard Oil,43700.0,G,5244,Due
MDM007699,2025-07-25,SCH0598,Kumar & Co.,Wheat,,,498,Pending
MDM001663,2025-08-01,SCH0404,Singh Brothers,Dal,,,3438,Due
MDM001594,2025-10-31,SCH0481,Sharma & Sons,Mustard Oil,23500.0,G,2820,
MDM002088,2026-02-26,SCH0208,Kumar General Store,Dal,0.462,BAG_50KG,2079,Cleared
MDM002583,2025-08-14,SCH0364,Singh Brothers,oil,0.26,BAG_50KG,1560,Paid
MDM006674,2025-08-18,SCH0588,Goyal Rice Mill,oil,10900.0,G,1308,Cleared
MDM000361,2025-05-21,SCH0203,Goyal Mill,Dal,0.232,SACK,1044,Cleared
MDM006339,2026-03-30,SCH0218,S. Agro Works,Mustard Oil,,,5772,Due
MDM008762,2025-11-19,SCH0597,Kumar Supplies,Rice,,,1792,Pending
MDM010486,2025-06-23,SCH0197,Sharma Traders Pvt Ltd,Mustard Oil,0.948,BAG,5688,
MDM010641,2025-11-05,SCH0064,Sharma & Sons,Atta,17500.0,G,525,Paid
MDM008804,2025-04-26,SCH0423,Singh Brothers,Dal,10.2,KG,,
MDM009550,2026-02-03,SCH0345,Kumar General Store,Dal,52.3,KG,4707,Pending
MDM004149,2025-05-19,SCH0553,Kumar & Co.,Rice,0.866,BAG,1732,Paid
MDM000034,2025-04-06,SCH0352,Sharma & Sons,oil,32600.0,G,3912,Pending
MDM007697,2025-05-21,SCH0424,Goyal Rice Mill,Dal,,,3951,Paid
MDM002311,2026-01-29,SCH0146,Goyal Enterprises,Cooking Oil,58900.0,G,7068,Due
MDM002143,2025-12-02,SCH0299,Kumar & Co.,Rice,0.8240000000000001,BORI,1648,Pending
MDM009391,2025-12-02,SCH0226,Sharma & Sons,Mustard Oil,0.266,BAG_50KG,1596,Pending
MDM011455,2025-09-29,SCH0588,Sharma & Sons,Wheat,,,843,Paid
MDM008537,2026-01-13,SCH0572,Kumar General Store,Rice,55.7,KG,2228,Pending
MDM000103,2025-06-15,SCH0194,Singh Brothers,Mustard Oil,,,1872,Due
MDM003529,2026-01-18,SCH0288,Goyal Rice Mill,Rice,47.6,KG,1904,Paid
MDM010480,2025-06-18,SCH0180,Goyal Enterprises,Wheat,0.506,BAG,759,
MDM005848,2026-03-14,SCH0436,Sharma Traders,Dal,46.4,KG,4176,Paid
MDM008575,2025-10-04,SCH0137,Kumar General Store,Wheat,42100.0,G,1263,Pending
MDM011890,2025-06-03,SCH0130,Kumar General Store,Dal,0.9640000000000001,BORI,4338,Pending
MDM004491,2025-06-07,SCH0194,Singh Brothers,Dal,0.448,BORI,2015,
MDM003147,2026-03-04,SCH0568,Goyal Mill,Dal,,,1755,Pending
MDM007681,2025-04-23,SCH0513,Goyal Enterprises,Rice,51.9,KG,2076,Paid
MDM011079,2025-07-04,SCH0319,Sharma Traders Pvt Ltd,Wheat,33.1,KG,993,Paid
MDM002145,2026-03-15,SCH0428,Sharma Traders Pvt Ltd,Dal,38200.0,G,3438,Pending
MDM004895,2025-06-27,SCH0257,Sharma Traders,oil,0.5820000000000001,SACK,3492,Cleared
MDM001571,2025-08-13,SCH0036,Kumar Supplies,Mustard Oil,,,4536,
MDM010336,2025-05-25,SCH0148,Sharma Traders,Rice,31900.0,G,1276,Pending
MDM002577,2026-03-31,SCH0189,Singh Agro,Dal,23900.0,G,2151,Paid
MDM007857,2025-10-07,SCH0297,Kumar General Store,Dal,0.914,BAG,4113,Pending
MDM000539,2025-10-10,SCH0160,Sharma Traders Pvt Ltd,Rice,50.6,KG,2024,Pending
MDM002240,2025-04-04,SCH0443,Sharma Traders,Wheat,23.7,KG,711,
MDM002445,2025-12-02,SCH0424,Kumar General Store,Dal,,,5247,Paid
