record_id,date,school_id,grade,total_students,present_students,teacher_present,marked_by,attendance_rate,impossible_attendance_flag,proxy_attendance_flag,record_id_missing_flag
ATT0013099,2025-10-09,SCH0194,8,129,122,Present,Unknown,94.57364341085271,False,False,False
ATT0019041,2025-04-15,SCH0210,2,89,65,Present,Headmaster,73.03370786516854,False,False,False
ATT0018193,2026-02-24,SCH0486,7,84,69,Absent,Clerk,82.14285714285714,False,False,False
ATT0001088,2025-05-16,SCH0038,6,115,80,Present,Clerk,69.56521739130434,False,False,False
ATT0013698,2025-07-08,SCH0061,2,143,126,Absent,Admin,88.11188811188812,False,False,False
ATT0019226,2026-03-19,SCH0507,6,252,153,Present,Clerk,60.71428571428571,False,False,False
ATT0005763,2025-06-13,SCH0535,4,139,124,Present,Headmaster,89.20863309352518,False,False,False
ATT0008627,2025-11-20,SCH0042,3,236,162,Present,Admin,68.64406779661016,False,False,False
ATT0016608,2025-06-16,SCH0539,4,270,163,Present,Headmaster,60.370370370370374,False,False,False
ATT0016748,2025-05-13,SCH0550,8,257,249,Present,Headmaster,96.88715953307393,False,False,False
ATT0014371,2026-01-14,SCH0351,7,293,198,Present,Headmaster,67.57679180887372,False,False,False
ATT0006789,2025-05-21,SCH0537,10,238,196,Present,Headmaster,82.35294117647058,False,False,False
ATT0019295,2026-02-19,SCH0256,3,76,73,Present,Clerk,96.05263157894737,False,False,False
ATT0015631,2026-02-26,SCH0527,6,250,201,Present,Unknown,80.4,False,False,False
ATT0003352,2025-06-24,SCH0558,4,177,109,Present,Clerk,61.5819209039548,False,False,False
ATT0013112,2026-03-27,SCH0014,4,184,122,Present,Clerk,66.30434782608695,False,False,False
ATT0000342,2026-03-23,SCH0024,4,233,204,Present,Class Teacher,87.55364806866953,False,False,False
ATT0002381,2025-06-12,SCH0012,1,78,47,Present,Clerk,60.256410256410255,False,False,False
ATT0014806,2025-04-07,SCH0437,9,114,72,Present,Headmaster,63.1578947368421,False,False,False
ATT0014906,2026-08-02,SCH0488,1,174,168,Present,Admin,96.55172413793103,False,False,False
ATT0017596,2025-06-23,SCH0317,2,259,250,Present,Admin,96.52509652509652,False,False,False
ATT0008727,2026-02-24,SCH0024,7,138,86,Absent,Unknown,62.31884057971014,False,False,False
ATT0016450,2026-03-22,SCH0596,3,236,236,Present,Class Teacher,100.0,False,True,False
ATT0002306,2025-11-10,SCH0271,3,45,41,Absent,Headmaster,91.11111111111111,False,False,False
ATT0012052,2026-02-06,SCH0367,4,289,188,Present,Class Teacher,65.05190311418684,False,False,False
ATT0003480,2025-05-20,SCH0295,3,147,97,Present,Clerk,65.98639455782312,False,False,False
ATT0009137,2026-02-17,SCH0139,1,173,152,Absent,Clerk,87.86127167630057,False,False,False
ATT0007525,2025-12-13,SCH0206,9,261,188,Present,Unknown,72.03065134099617,False,False,False
ATT0010353,2025-06-12,SCH0289,3,131,82,Present,Unknown,62.59541984732825,False,False,False
ATT0012107,2025-04-13,SCH0172,1,214,214,Present,Class Teacher,100.0,False,True,False
ATT0015379,2025-05-12,SCH0246,4,84,80,Present,Admin,95.23809523809523,False,False,False
ATT0019606,2025-08-05,SCH0392,10,55,42,Present,Unknown,76.36363636363637,False,False,False
ATT0016832,2025-11-18,SCH0031,10,61,40,Present,Clerk,65.57377049180327,False,False,False
ATT0013190,2025-09-19,SCH0450,1,156,156,Present,Clerk,100.0,False,False,False
ATT0003799,2026-11-01,SCH0225,1,92,104,Present,Clerk,,True,False,False
ATT0015816,2025-05-04,SCH0380,8,187,187,Present,Class Teacher,100.0,False,True,False
ATT0019080,2025-07-23,SCH0107,5,190,179,Present,Headmaster,94.21052631578948,False,False,False
ATT0016929,2025-09-09,SCH0038,3,279,227,Present,Clerk,81.36200716845879,False,False,False
ATT0003669,2025-11-24,SCH0048,5,299,244,Present,Headmaster,81.60535117056857,False,False,False
ATT0018433,2025-09-08,SCH0452,4,134,93,Present,Headmaster,69.40298507462687,False,False,False
ATT0006326,2025-11-21,SCH0366,3,63,58,Present,Headmaster,92.06349206349206,False,False,False
ATT0013584,2025-11-30,SCH0068,4,64,64,Present,Unknown,100.0,False,True,False
ATT0000134,2026-02-26,SCH0036,5,83,50,Present,Headmaster,60.24096385542169,False,False,False
ATT0013830,2026-02-07,SCH0124,5,197,152,Absent,Headmaster,77.15736040609137,False,False,False
ATT0013856,2025-04-21,SCH0448,8,177,138,Unknown,Headmaster,77.96610169491525,False,False,False
ATT0003779,2025-04-25,SCH0040,2,129,91,Issue,Class Teacher,70.54263565891473,False,False,False
ATT0000386,2025-04-16,SCH0105,2,132,119,Present,Headmaster,90.15151515151516,False,False,False
ATT0012462,2025-08-12,SCH0032,6,183,143,Absent,Unknown,78.14207650273224,False,False,False
ATT0011447,2025-05-09,SCH0097,4,46,38,Present,Admin,82.6086956521739,False,False,False
ATT0002172,2025-07-14,SCH0004,2,298,229,Unknown,Headmaster,76.84563758389261,False,False,False
ATT0019703,2025-11-08,SCH0141,2,248,200,Present,Admin,80.64516129032258,False,False,False
ATT0015261,2025-09-21,SCH0048,2,166,166,Unknown,Headmaster,100.0,False,True,False
ATT0005663,2025-07-28,SCH0328,10,60,44,Present,Clerk,73.33333333333333,False,False,False
ATT0001356,2025-06-27,SCH0523,3,60,39,Present,Headmaster,65.0,False,False,False
ATT0002086,2025-11-22,SCH0334,5,240,233,Present,Unknown,97.08333333333333,False,False,False
ATT0019163,2025-09-27,SCH0008,3,196,189,Present,Clerk,96.42857142857143,False,False,False
ATT0010361,2025-08-21,SCH0180,7,188,134,Present,Unknown,71.27659574468085,False,False,False
ATT0011548,2025-07-04,SCH0155,3,271,224,Present,Clerk,82.65682656826569,False,False,False
ATT0002387,2025-12-05,SCH0412,1,203,141,Present,Admin,69.45812807881774,False,False,False
ATT0012785,2025-04-26,SCH0193,10,156,114,Present,Admin,73.07692307692307,False,False,False
ATT0000475,2025-11-14,SCH0377,3,292,204,Absent,Class Teacher,69.86301369863014,False,False,False
ATT0003435,2025-12-26,SCH0067,8,63,57,Present,Admin,90.47619047619048,False,False,False
ATT0005306,2025-04-04,SCH0249,5,256,205,Present,Class Teacher,80.078125,False,False,False
ATT0008088,2025-12-05,SCH0552,5,198,175,Present,Headmaster,88.38383838383838,False,False,False
ATT0004843,2025-06-06,SCH0075,7,143,99,Present,Headmaster,69.23076923076923,False,False,False
ATT0013436,2026-02-16,SCH0329,10,70,53,Present,Headmaster,75.71428571428571,False,False,False
ATT0007882,2025-11-21,SCH0136,6,137,145,Present,Headmaster,,True,False,False
ATT0006291,2025-11-04,SCH0361,2,228,164,Present,Admin,71.9298245614035,False,False,False
ATT0012561,2026-02-16,SCH0128,3,106,106,Present,Class Teacher,100.0,False,False,False
ATT0002504,2026-11-02,SCH0092,4,209,165,Absent,Class Teacher,78.94736842105263,False,False,False
ATT0007290,2025-02-10,SCH0271,1,185,145,Present,Headmaster,78.37837837837837,False,False,False
ATT0015715,2025-12-24,SCH0348,3,67,52,Present,Headmaster,77.61194029850746,False,False,False
ATT0016429,2025-11-02,SCH0488,6,41,41,Present,Class Teacher,100.0,False,True,False
ATT0000745,2025-05-31,SCH0584,8,166,112,Present,Unknown,67.46987951807229,False,False,False
ATT0017944,2026-03-16,SCH0372,8,239,188,Present,Headmaster,78.66108786610879,False,False,False
ATT0017881,2025-06-02,SCH0493,5,240,208,Present,Headmaster,86.66666666666667,False,False,False
ATT0015453,2025-06-30,SCH0202,9,56,69,Present,Clerk,,True,False,False
ATT0010552,2025-10-18,SCH0382,3,290,252,Present,Clerk,86.89655172413792,False,False,False
ATT0019746,2025-11-16,SCH0597,10,119,119,Present,Headmaster,100.0,False,True,False
ATT0002326,2025-11-19,SCH0168,1,132,127,Present,Clerk,96.21212121212122,False,False,False
ATT0009961,2026-03-11,SCH0118,8,155,105,Absent,Clerk,67.74193548387096,False,False,False
ATT0018383,2025-08-30,SCH0532,5,205,192,Present,Headmaster,93.65853658536587,False,False,False
ATT0016506,2025-09-20,SCH0469,9,46,31,Present,Headmaster,67.3913043478261,False,False,False
ATT0012139,2026-01-25,SCH0417,5,160,176,Present,Headmaster,,True,False,False
ATT0016665,2025-04-21,SCH0575,4,169,114,Present,Admin,67.45562130177515,False,False,False
ATT0017392,2025-06-04,SCH0303,2,270,270,Unknown,Class Teacher,100.0,False,False,False
ATT0001167,2025-11-01,SCH0540,3,244,178,Present,Headmaster,72.95081967213115,False,False,False
ATT0009962,2025-07-23,SCH0082,5,277,177,Present,Class Teacher,63.898916967509024,False,False,False
ATT0006135,2025-08-13,SCH0389,10,162,155,Present,Clerk,95.67901234567901,False,False,False
ATT0009816,2026-02-06,SCH0032,1,239,146,Present,Admin,61.08786610878661,False,False,False
ATT0005672,2026-03-21,SCH0012,5,182,151,Present,Headmaster,82.96703296703298,False,False,False
ATT0006798,2025-08-14,SCH0549,2,121,79,Present,Unknown,65.28925619834712,False,False,False
ATT0007859,2026-01-17,SCH0362,7,192,149,Absent,Class Teacher,77.60416666666666,False,False,False
ATT0011552,2025-07-04,SCH0102,6,144,117,Present,Class Teacher,81.25,False,False,False
ATT0018220,2025-07-05,SCH0217,3,49,32,Present,Class Teacher,65.3061224489796,False,False,False
ATT0007537,2026-02-28,SCH0464,4,115,101,Present,Headmaster,87.82608695652175,False,False,False
ATT0017089,2025-04-12,SCH0133,8,136,122,Absent,Class Teacher,89.70588235294117,False,False,False
ATT0008467,2025-04-27,SCH0297,8,299,232,Absent,Clerk,77.59197324414716,False,False,False
ATT0017746,2026-03-28,SCH0083,5,287,205,Present,Class Teacher,71.42857142857143,False,False,False
ATT0011454,2025-10-14,SCH0547,1,261,252,Absent,Clerk,96.55172413793103,False,False,False
ATT0004950,2025-06-23,SCH0486,5,70,57,Present,Headmaster,81.42857142857143,False,False,False
ATT0013625,2025-12-28,SCH0344,1,225,165,Present,Clerk,73.33333333333333,False,False,False
ATT0019973,2025-04-17,SCH0292,1,161,139,Present,Class Teacher,86.33540372670807,False,False,False
ATT0012615,2025-10-21,SCH0318,8,258,157,Present,Headmaster,60.85271317829457,False,False,False
ATT0004439,2026-03-31,SCH0532,5,135,120,Absent,Clerk,88.88888888888889,False,False,False
ATT0006632,2025-10-28,SCH0136,6,161,126,Present,Class Teacher,78.26086956521739,False,False,False
ATT0002752,2025-07-10,SCH0234,2,221,174,Absent,Class Teacher,78.73303167420815,False,False,False
ATT0016471,2025-10-15,SCH0235,1,297,267,Present,Clerk,89.8989898989899,False,False,False
ATT0006557,2025-11-08,SCH0538,3,142,159,Present,Class Teacher,,True,False,False
,2026-03-23,SCH0565,9,138,115,Present,Clerk,83.33333333333334,False,False,True
ATT0016793,2025-08-08,SCH0019,8,135,99,Present,Headmaster,73.33333333333333,False,False,False
ATT0005422,2025-12-27,SCH0255,4,161,145,Present,Class Teacher,90.06211180124224,False,False,False
ATT0011991,2025-08-23,SCH0309,7,69,65,Present,Unknown,94.20289855072464,False,False,False
ATT0000564,2025-04-29,SCH0441,2,166,166,Present,Admin,100.0,False,False,False
,2025-06-12,SCH0231,3,128,139,Present,Clerk,,True,False,True
ATT0009691,2025-07-29,SCH0283,1,57,41,Unknown,Headmaster,71.9298245614035,False,False,False
ATT0018752,2025-04-05,SCH0079,5,155,155,Present,Headmaster,100.0,False,False,False
ATT0013496,2025-10-05,SCH0076,5,59,59,Present,Admin,100.0,False,True,False
ATT0004220,2025-04-20,SCH0458,3,131,131,Present,Class Teacher,100.0,False,True,False
,2025-08-04,SCH0406,1,273,214,Present,Headmaster,78.3882783882784,False,False,True
ATT0006358,2025-10-13,SCH0333,2,221,214,Present,Admin,96.83257918552036,False,False,False
ATT0004548,2025-02-04,SCH0162,1,293,278,Present,Unknown,94.88054607508532,False,False,False
,2025-07-09,SCH0322,8,202,202,Present,Clerk,100.0,False,False,True
ATT0002938,2025-08-13,SCH0575,5,204,156,Absent,Clerk,76.47058823529412,False,False,False
ATT0016043,2025-10-16,SCH0463,9,255,165,Present,Admin,64.70588235294117,False,False,False
ATT0009359,2026-03-25,SCH0284,4,257,229,Absent,Admin,89.10505836575877,False,False,False
ATT0013079,2025-06-20,SCH0210,1,54,40,Absent,Unknown,74.07407407407408,False,False,False
ATT0015003,2026-01-01,SCH0120,2,196,176,Present,Headmaster,89.79591836734694,False,False,False
ATT0019801,2025-10-20,SCH0550,8,196,165,Present,Admin,84.18367346938776,False,False,False
ATT0005377,2025-04-11,SCH0303,2,76,53,Present,Headmaster,69.73684210526315,False,False,False
ATT0005478,2026-08-02,SCH0305,1,209,225,Present,Headmaster,,True,False,False
ATT0019212,2025-11-29,SCH0145,10,246,246,Present,Clerk,100.0,False,False,False
ATT0017465,2025-07-10,SCH0034,5,227,196,Present,Headmaster,86.34361233480176,False,False,False
ATT0003949,2025-10-16,SCH0298,3,236,218,Present,Headmaster,92.37288135593221,False,False,False
ATT0008542,2025-09-29,SCH0161,2,137,101,Unknown,Clerk,73.72262773722628,False,False,False
ATT0008118,2025-06-12,SCH0028,2,300,225,Present,Headmaster,75.0,False,False,False
ATT0000777,2026-11-01,SCH0167,5,209,151,Present,Class Teacher,72.24880382775119,False,False,False
ATT0016135,2025-07-27,SCH0580,7,51,51,Present,Headmaster,100.0,False,True,False
ATT0004731,2025-04-07,SCH0574,4,98,72,Present,Headmaster,73.46938775510205,False,False,False
ATT0006219,2025-08-13,SCH0192,4,203,125,Present,Admin,61.57635467980296,False,False,False
ATT0015102,2025-05-30,SCH0093,5,212,157,Present,Class Teacher,74.05660377358491,False,False,False
ATT0003001,2025-11-16,SCH0533,8,168,168,Present,Admin,100.0,False,True,False
ATT0005863,2026-01-26,SCH0014,5,77,49,Present,Admin,63.63636363636363,False,False,False
ATT0018506,2026-03-22,SCH0548,3,125,102,Absent,Class Teacher,81.6,False,False,False
ATT0009615,2025-04-04,SCH0391,7,112,68,Absent,Unknown,60.71428571428571,False,False,False
ATT0013003,2025-03-05,SCH0316,3,45,42,Absent,Unknown,93.33333333333333,False,False,False
ATT0011128,2025-08-19,SCH0445,8,106,74,Unknown,Headmaster,69.81132075471697,False,False,False
ATT0002120,2025-12-02,SCH0191,5,90,90,Present,Class Teacher,100.0,False,False,False
ATT0017627,2025-08-22,SCH0475,5,252,191,Present,Unknown,75.79365079365078,False,False,False
ATT0016319,2025-06-07,SCH0061,4,119,99,Present,Clerk,83.19327731092437,False,False,False
ATT0002754,2025-04-21,SCH0106,4,237,155,Present,Class Teacher,65.40084388185655,False,False,False
ATT0016898,2025-09-05,SCH0106,3,51,37,Present,Unknown,72.54901960784314,False,False,False
ATT0004521,2025-08-30,SCH0490,2,95,76,Present,Unknown,80.0,False,False,False
ATT0002458,2025-06-11,SCH0060,9,93,74,Present,Clerk,79.56989247311827,False,False,False
ATT0013853,2025-12-29,SCH0382,1,180,126,Absent,Clerk,70.0,False,False,False
ATT0008482,2025-06-04,SCH0071,8,108,80,Present,Clerk,74.07407407407408,False,False,False
ATT0012100,2025-03-10,SCH0423,7,127,91,Absent,Admin,71.65354330708661,False,False,False
ATT0011960,2025-10-23,SCH0438,7,212,133,Present,Clerk,62.735849056603776,False,False,False
ATT0008070,2025-05-05,SCH0299,4,159,102,Present,Clerk,64.15094339622641,False,False,False
ATT0007257,2025-08-04,SCH0076,7,268,222,Present,Headmaster,82.83582089552239,False,False,False
ATT0009490,2025-06-25,SCH0397,2,229,240,Present,Admin,,True,False,False
ATT0014936,2025-02-07,SCH0148,4,228,219,Present,Class Teacher,96.05263157894737,False,False,False
ATT0014130,2025-06-27,SCH0168,5,66,63,Present,Admin,95.45454545454545,False,False,False
ATT0018191,2025-04-19,SCH0157,6,79,79,Present,Headmaster,100.0,False,False,False
ATT0016328,2025-07-07,SCH0085,4,93,69,Absent,Headmaster,74.19354838709677,False,False,False
ATT0015663,2026-03-19,SCH0041,5,186,145,Present,Admin,77.95698924731182,False,False,False
ATT0015364,2025-12-13,SCH0308,7,276,213,Present,Headmaster,77.17391304347827,False,False,False
ATT0013039,2025-06-12,SCH0571,4,225,158,Present,Clerk,70.22222222222221,False,False,False
ATT0003283,2025-11-01,SCH0068,8,91,64,Absent,Clerk,70.32967032967034,False,False,False
ATT0012182,2026-03-22,SCH0470,1,68,68,Present,Admin,100.0,False,True,False
ATT0004983,2025-07-20,SCH0263,4,89,76,Present,Headmaster,85.39325842696628,False,False,False
ATT0009503,2025-06-17,SCH0141,5,205,198,Unknown,Class Teacher,96.58536585365853,False,False,False
ATT0003406,2026-04-03,SCH0042,1,240,225,Present,Clerk,93.75,False,False,False
ATT0003959,2026-03-10,SCH0461,3,74,57,Present,Class Teacher,77.02702702702703,False,False,False
ATT0017342,2025-10-15,SCH0403,4,102,111,Issue,Clerk,,True,False,False
ATT0009179,2025-06-27,SCH0466,5,272,230,Present,Admin,84.55882352941177,False,False,False
ATT0002268,2025-09-19,SCH0139,7,45,28,Present,Clerk,62.22222222222222,False,False,False
ATT0013127,2025-06-06,SCH0287,3,224,192,Present,Admin,85.71428571428571,False,False,False
ATT0013335,2025-04-14,SCH0092,2,219,138,Present,Unknown,63.013698630136986,False,False,False
ATT0014774,2025-11-10,SCH0355,6,42,36,Present,Clerk,85.71428571428571,False,False,False
ATT0010369,2025-05-31,SCH0206,10,122,98,Present,Headmaster,80.32786885245902,False,False,False
ATT0007224,2025-10-05,SCH0239,3,268,242,Present,Unknown,90.29850746268657,False,False,False
ATT0018308,2025-09-23,SCH0188,1,246,150,Present,Unknown,60.97560975609756,False,False,False
,2025-10-20,SCH0332,2,195,189,Unknown,Admin,96.92307692307692,False,False,True
ATT0018556,2026-03-28,SCH0053,1,108,89,Unknown,Headmaster,82.4074074074074,False,False,False
ATT0002486,2025-12-29,SCH0120,4,215,171,Present,Admin,79.53488372093022,False,False,False
ATT0017100,2025-08-24,SCH0163,5,216,184,Present,Class Teacher,85.18518518518519,False,False,False
ATT0016223,2025-12-30,SCH0289,5,131,82,Present,Headmaster,62.59541984732825,False,False,False
ATT0004881,2025-07-12,SCH0208,5,185,147,Present,Headmaster,79.45945945945945,False,False,False
ATT0016299,2025-07-07,SCH0473,5,171,144,Present,Clerk,84.21052631578947,False,False,False
ATT0011867,2026-03-19,SCH0124,2,93,72,Unknown,Clerk,77.41935483870968,False,False,False
ATT0007276,2025-09-12,SCH0007,3,138,90,Present,Clerk,65.21739130434783,False,False,False
ATT0014291,2025-07-04,SCH0001,1,202,158,Present,Admin,78.21782178217822,False,False,False
ATT0014519,2025-05-04,SCH0475,7,218,218,Present,Headmaster,100.0,False,True,False
ATT0005526,2025-07-09,SCH0376,3,133,133,Present,Unknown,100.0,False,False,False
ATT0018711,2025-05-17,SCH0307,8,285,257,Present,Headmaster,90.17543859649123,False,False,False
ATT0009688,2026-03-13,SCH0110,2,297,198,Absent,Admin,66.66666666666666,False,False,False
ATT0000409,2025-04-16,SCH0173,5,260,191,Present,Admin,73.46153846153847,False,False,False
ATT0008733,2026-02-21,SCH0256,1,64,41,Present,Unknown,64.0625,False,False,False
ATT0001098,2025-09-06,SCH0507,1,228,187,Present,Headmaster,82.01754385964912,False,False,False
ATT0010787,2025-07-18,SCH0479,9,188,168,Present,Class Teacher,89.36170212765957,False,False,False
ATT0010978,2025-04-15,SCH0118,4,292,307,Present,Clerk,,True,False,False
ATT0003935,2025-12-17,SCH0317,2,47,29,Present,Admin,61.702127659574465,False,False,False
ATT0010372,2025-12-05,SCH0516,2,75,53,Absent,Clerk,70.66666666666667,False,False,False
,2025-04-26,SCH0219,4,257,214,Present,Clerk,83.26848249027238,False,False,True
ATT0007246,2025-10-12,SCH0063,9,52,52,Present,Admin,100.0,False,True,False
ATT0019319,2026-03-24,SCH0508,2,277,262,Present,Class Teacher,94.58483754512635,False,False,False
ATT0001494,2025-02-12,SCH0562,10,80,80,Unknown,Headmaster,100.0,False,False,False
ATT0015581,2026-10-01,SCH0134,6,95,64,Present,Class Teacher,67.36842105263158,False,False,False
ATT0018410,2025-10-14,SCH0497,8,96,62,Absent,Headmaster,64.58333333333334,False,False,False
ATT0007410,2025-07-27,SCH0285,4,86,86,Present,Unknown,100.0,False,True,False
ATT0011571,2025-12-11,SCH0143,2,299,215,Present,Unknown,71.90635451505017,False,False,False
ATT0002827,2026-09-01,SCH0171,1,57,55,Present,Clerk,96.49122807017544,False,False,False
ATT0012796,2025-08-20,SCH0074,5,105,73,Present,Class Teacher,69.52380952380952,False,False,False
ATT0004985,2025-11-19,SCH0290,2,137,101,Present,Class Teacher,73.72262773722628,False,False,False
ATT0004974,2025-06-01,SCH0201,10,202,126,Unknown,Headmaster,62.37623762376238,False,False,False
ATT0013885,2025-07-08,SCH0448,3,225,159,Unknown,Class Teacher,70.66666666666667,False,False,False
ATT0002618,2025-10-20,SCH0599,4,74,46,Present,Unknown,62.16216216216216,False,False,False
ATT0003770,2025-05-05,SCH0574,4,232,191,Absent,Unknown,82.32758620689656,False,False,False
ATT0016028,2026-02-15,SCH0276,3,149,155,Present,Clerk,,True,False,False
ATT0004192,2026-02-26,SCH0128,4,53,42,Present,Headmaster,79.24528301886792,False,False,False
ATT0012701,2025-04-06,SCH0251,9,266,266,Present,Clerk,100.0,False,True,False
ATT0010141,2025-04-09,SCH0546,4,174,152,Present,Headmaster,87.35632183908046,False,False,False
ATT0019390,2025-09-10,SCH0002,1,255,172,Present,Headmaster,67.45098039215686,False,False,False
